species,node,fcv,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,n_recordings,level,window_config,root_area_id,normalization,node_class,cell_class,fcv_z,rank_high_to_low,percentile,global_rank_high_to_low,global_percentile,class_order,class_label,class_short,fine_class,analysis_note,shared_fine_order,shared_fine_label
Zebrafish,OB,1.0382328629889686,-1.7160800539131662,1.511276292161842,0.1181607238415435,1.2767000250770937,4,root_area_from_louvain_communities,baseline_highpass,20.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,1.3468059475628913,7,0.8775510204081632,20,0.9194915254237288,0,sensory input,sensory input,olfactory bulb,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,RIML,1.035451381066493,-1.1602646570799493,-1.3132276566794605,-0.5726283378014833,-0.3819478795617144,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.3099016901232856,9,0.9333333333333333,21,0.9152542372881356,4,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
C. elegans,RIBR,1.0345687486246304,-0.8557706601690084,-1.344162851070242,2.741313327266395,-0.1231311580520326,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.3087767732053435,10,0.925,22,0.9110169491525424,3,associative / learning,associative / learning,associative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
C. elegans,RIVL,0.99887880595307,0.6595184107290701,0.1221082447542772,0.1608156354409753,0.2457401741860699,18,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,1.2632898656236284,11,0.9166666666666666,23,0.9067796610169492,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,RMDL,0.9874034751941082,0.8855331846875518,-0.2508496921628675,0.4754046072374341,0.1308620531245428,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,1.248664532248732,12,0.9083333333333333,24,0.902542372881356,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,AIBL,0.9820569098964484,-0.3747629664811975,-1.4599047262818814,1.4417466559474972,-0.2522708679161414,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.2418503234445233,13,0.9,25,0.8983050847457628,3,associative / learning,associative / learning,associative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
C. elegans,RIMR,0.9817674602349216,-1.3178343733161757,-1.277154914889045,0.2534022530301826,-0.3152236996099029,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.2414814192374026,14,0.8916666666666667,26,0.8940677966101694,4,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
C. elegans,IL1VR,0.97918895787414,0.3614779384750793,-0.3292390205210991,0.3677860541978319,-0.0599437601367438,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,1.2381951125133077,15,0.8833333333333333,27,0.8898305084745762,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
C. elegans,AIML,0.9681821108084344,-1.505868031541553,0.1390251511711777,-0.1397088147829918,0.819937782427495,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,1.2241668625984437,16,0.875,28,0.885593220338983,3,associative / learning,associative / learning,associative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
Drosophila,AL_L,0.9636087904663526,0.5713424481115357,-0.9429295913117246,0.1312875413358872,-0.0917688295614613,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.321238342922522,6,0.9253731343283582,29,0.8813559322033898,0,sensory input,sensory input,olfactory system,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
