StimulusIndex,Region,MeanStimulusFCV,SEMStimulusFCV,N,RegionID,Division
11,rP,1.1021133032671178,0.2910845867322502,7,58,Tel
11,rPO,0.236345119496756,0.3018588089736947,7,61,Tel
11,rSP,0.6935617720247842,0.24621327886474514,7,64,Tel
11,lHb,-0.3024246804171305,0.42244236405795504,7,16,Di
11,lPT,0.12961855112747805,0.28601032890488937,7,24,Di
11,lPrT,-0.3865393913487573,0.20186708673438605,7,26,Di
11,lTh,0.22653673829605944,0.3465273030896958,7,30,Di
11,rHb,0.4016673477339546,0.3394129530784972,7,52,Di
11,rPT,0.3204999200523629,0.2593981048198718,7,60,Di
11,rPrT,-0.7219244419441088,0.3636007551429176,7,62,Di
11,rTh,0.23134855199384735,0.3483562993434017,7,66,Di
11,lTeO,0.8190822629436603,0.40289424755042774,7,29,Mes
11,lTS,0.16968557978426535,0.4144462864158287,7,32,Mes
11,rTeO,0.5654698470343268,0.36986643129981167,7,65,Mes
11,rTS,-1.012926704196517,0.46872631603928294,7,68,Mes
11,lMON,0.4659051813362437,0.36221380895160465,7,0,Hind
11,lCb,0.10620260219059638,0.46474806311469397,7,1,Hind
11,lMOS1,-0.2906089083267229,0.2623810787595017,7,2,Hind
11,lMOS2,-0.534187048735017,0.13300439275480855,7,3,Hind
11,lMOS3,0.07872510696174226,0.30081790608995707,7,4,Hind
11,lMOS4,-0.16804497252523348,0.3403106364672766,7,5,Hind
11,lMOS5,0.324080297565069,0.27533677198004136,7,6,Hind
11,lRa,0.23298715870862718,0.3712688474483041,7,10,Hind
11,lT,-0.0980350450258578,0.2275895815660275,7,11,Hind
11,laRF,-0.28425068503587914,0.23471155127289142,7,12,Hind
11,limRF,-0.46771481455234765,0.29883168909954744,7,13,Hind
11,lpRF,0.1971660300578679,0.22664008625872045,7,14,Hind
11,lNX,-0.0026000155592223856,0.3608893801064586,7,35,Hind
11,rMON,-0.08798240594156827,0.49804934342653023,7,36,Hind
11,rCb,-0.4154109065886077,0.15304486232500886,7,37,Hind
11,rMOS1,-1.114231250514652,0.1934898057645398,7,38,Hind
11,rMOS2,-0.8606257492667205,0.158845422276503,7,39,Hind
11,rMOS3,-1.1320382433644431,0.1791740740661433,7,40,Hind
11,rMOS4,-0.8364337958472655,0.1026347403882311,7,41,Hind
11,rMOS5,-0.031710998532549335,0.2909416258410833,7,42,Hind
11,rRa,0.148891439197009,0.16692112715317864,7,46,Hind
11,rT,-0.4111056855839479,0.35596986955671794,7,47,Hind
11,raRF,-1.122935809698341,0.10379453671366366,7,48,Hind
11,rimRF,-0.44089274673216694,0.2231069076028983,7,49,Hind
11,rpRF,-0.2766831890658176,0.2928897541490639,7,50,Hind
11,rNX,0.0003829714393993679,0.29536528473642,7,71,Hind
12,OB,1.3796080699118758,0.4953961171244038,7,20,Tel
12,lP,0.6245811519242397,0.30506486095802937,7,22,Tel
12,lPO,0.2968492763901715,0.3135839250079018,7,25,Tel
12,lSP,0.5709044199857074,0.44050005880580645,7,28,Tel
12,rOB,1.7539074371145351,0.3687799783778527,7,56,Tel
12,rP,0.6540322941560567,0.2681332870650998,7,58,Tel
12,rPO,0.3723913487378888,0.17995305689097477,7,61,Tel
12,rSP,0.5318514096665251,0.39660688158516655,7,64,Tel
12,lHb,0.022224536362807776,0.355665707988756,7,16,Di
12,lPT,-0.578617913156866,0.28157343273286484,7,24,Di
12,lPrT,-0.5987795267728885,0.19748634961627834,7,26,Di
12,lTh,-0.12786995092727255,0.21913862752957325,7,30,Di
12,rHb,0.5708839418161792,0.6342618317268445,7,52,Di
12,rPT,0.4665791512808119,0.3002718969935965,7,60,Di
12,rPrT,0.14654760342338208,0.2151803293422885,7,62,Di
12,rTh,0.34160917210607245,0.26434653105320804,7,66,Di
12,lTeO,0.2866925146156718,0.2726026589598241,7,29,Mes
12,lTS,0.3972183060204704,0.5155662060881727,7,32,Mes
12,rTeO,1.2358172043140836,0.3213222707902616,7,65,Mes
12,rTS,0.3284394103035469,0.4176937773718035,7,68,Mes
12,lMON,0.12686006113076506,0.28620214609764527,7,0,Hind
12,lCb,-0.9249048497171434,0.11943006217848881,7,1,Hind
12,lMOS1,-1.0454690795474402,0.21467067404882878,7,2,Hind
12,lMOS2,-0.5105507198662294,0.11678911791042469,7,3,Hind
12,lMOS3,-1.0522239363513741,0.22603870986991006,7,4,Hind
12,lMOS4,-0.864610865793481,0.14594388031939468,7,5,Hind
12,lMOS5,-0.10529431262637393,0.2806681250234818,7,6,Hind
12,lRa,-0.19581096378286514,0.37442694476041793,7,10,Hind
12,lT,-0.5759132483307073,0.2401932411076713,7,11,Hind
12,laRF,-0.8188119487512847,0.18194942135449982,7,12,Hind
12,limRF,-0.6119795053219235,0.23345030647858991,7,13,Hind
12,lpRF,-0.6360236514513712,0.14826573049145644,7,14,Hind
12,lNX,-0.4711195025626063,0.23548324262769538,7,35,Hind
12,rMON,0.21705436819247326,0.18034016923147847,7,36,Hind
12,rCb,0.08804584376155937,0.408964782479698,7,37,Hind
12,rMOS1,-0.32058557840726615,0.40007709487242754,7,38,Hind
12,rMOS2,-0.169918374498804,0.31421357192204497,7,39,Hind
12,rMOS3,0.018491139848032172,0.45198524938145235,7,40,Hind
12,rMOS4,-0.6262784106234426,0.14008414944367772,7,41,Hind
12,rMOS5,0.24512379701923148,0.2923897157318891,7,42,Hind
12,rRa,0.25069810837575013,0.4292355979810418,7,46,Hind
12,rT,-0.329629055338897,0.31119830663819326,7,47,Hind
12,raRF,-0.25169053462446356,0.16491017009675496,7,48,Hind
12,rimRF,-0.3909633088868671,0.3060067602524166,7,49,Hind
12,rpRF,0.41929179901481844,0.5952328197359245,7,50,Hind
12,rNX,-0.1386571281331143,0.22143834918758984,7,71,Hind
