threshold,threshold_value,X,Y,Method,R,P,N
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanZFCV,pearson,0.12301132578420443,0.4100817896884916,47
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanZFCV,spearman,0.012032860974500972,0.936018828732686,47
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,pearson,0.11316726929985643,0.44882088363621936,47
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,spearman,-0.002776814071038686,0.9852206078570529,47
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanZFC,pearson,-0.10941029604157845,0.46411765266226035,47
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanZFC,spearman,-0.04535462982696522,0.7621042264041844,47
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanRawFC,pearson,-0.10706931439639858,0.4737890418405982,47
p75,3282.1428571428573,RegionSC_DCA_scaled_sqrtN,MeanRawFC,spearman,-0.04813144389800389,0.7480031737123479,47
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,pearson,0.0013599448704974676,0.9931801909402542,42
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,spearman,-0.007859978932015234,0.9605989787397189,42
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,pearson,0.020199594349721836,0.8989637107005817,42
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,spearman,0.027145288064176328,0.8645038319918708,42
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,pearson,-0.2554504852963909,0.10251847578075912,42
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,spearman,-0.3086459768252168,0.046729843629613806,42
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,pearson,-0.25009622365484574,0.11017723773113375,42
p75,3282.1428571428573,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,spearman,-0.3084839154039381,0.046851272661754,42
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,pearson,0.12029674248606437,0.4718908131419847,38
p75,3282.1428571428573,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,spearman,0.015647226173541962,0.925713332801241,38
