Subject,StimulusIndex,Region,RegionID,Division,FCV,NeuronCount,NTimepoints,NWindows,SubjectZFCV,normalization
13,11,lTeO,29,Mes,0.20761002935196682,7514,50,7,0.023837380840732735,subject_stimulus_zscore
13,11,lTS,32,Mes,0.16388624388344988,118,50,7,-1.0945499864032555,subject_stimulus_zscore
13,11,rTeO,65,Mes,0.23637356052004133,7228,50,7,0.7595643896301749,subject_stimulus_zscore
13,11,rTS,68,Mes,0.14686929849676583,144,50,7,-1.5298173482205861,subject_stimulus_zscore
13,11,lMON,0,Hind,0.21845738800909406,1012,50,7,0.3012961772395732,subject_stimulus_zscore
13,11,lCb,1,Hind,0.19949536750624514,1875,50,7,-0.1837232226263792,subject_stimulus_zscore
13,11,lMOS1,2,Hind,0.2126162636990582,1217,50,7,0.15188917670551255,subject_stimulus_zscore
13,11,lMOS2,3,Hind,0.19186740408321953,627,50,7,-0.37883482695564646,subject_stimulus_zscore
13,11,lMOS3,4,Hind,0.25365794738887676,1262,50,7,1.2016724943500268,subject_stimulus_zscore
13,11,lMOS4,5,Hind,0.25355269336811675,967,50,7,1.19898025794121,subject_stimulus_zscore
13,11,lMOS5,6,Hind,0.24323514183430403,1257,50,7,0.9350731151204316,subject_stimulus_zscore
13,11,lRa,10,Hind,0.2151956618515349,382,50,7,0.21786622507657805,subject_stimulus_zscore
13,11,lT,11,Hind,0.19626582239476045,1384,50,7,-0.2663300329911808,subject_stimulus_zscore
13,11,laRF,12,Hind,0.2328704343998388,603,50,7,0.669959796690298,subject_stimulus_zscore
13,11,limRF,13,Hind,0.21049928012314897,814,50,7,0.09773998393571759,subject_stimulus_zscore
13,11,lpRF,14,Hind,0.23232190647817383,953,50,7,0.6559292938050341,subject_stimulus_zscore
13,11,lNX,35,Hind,0.2442200286857234,340,50,7,0.9602650101265318,subject_stimulus_zscore
13,11,rMON,36,Hind,0.20037127638449992,1179,50,7,-0.1613188170196789,subject_stimulus_zscore
13,11,rCb,37,Hind,0.21001472596179435,1969,50,7,0.08534583171404593,subject_stimulus_zscore
13,11,rMOS1,38,Hind,0.1258356269010909,1455,50,7,-2.067826405471581,subject_stimulus_zscore
13,11,rMOS2,39,Hind,0.16624632820227994,648,50,7,-1.0341826495057966,subject_stimulus_zscore
13,11,rMOS3,40,Hind,0.12653995738074703,1513,50,7,-2.049810712128206,subject_stimulus_zscore
13,11,rMOS4,41,Hind,0.16820391252235595,1291,50,7,-0.9841106452081739,subject_stimulus_zscore
13,11,rMOS5,42,Hind,0.24466385800409643,1685,50,7,0.9716174833298942,subject_stimulus_zscore
13,11,rRa,46,Hind,0.19685115137805667,231,50,7,-0.2513582153961188,subject_stimulus_zscore
13,11,rT,47,Hind,0.18974994500754663,1382,50,7,-0.4329961822800584,subject_stimulus_zscore
13,11,raRF,48,Hind,0.16070179379136634,704,50,7,-1.176003335340062,subject_stimulus_zscore
13,11,rimRF,49,Hind,0.20283656589024524,777,50,7,-0.09826049280824925,subject_stimulus_zscore
13,11,rpRF,50,Hind,0.15223399727322393,1043,50,7,-1.3925965820776331,subject_stimulus_zscore
13,11,rNX,71,Hind,0.2602644551230816,449,50,7,1.3706568289030026,subject_stimulus_zscore
13,12,OB,20,Tel,0.24671798379135249,254,50,7,1.1542427248976213,subject_stimulus_zscore
13,12,lP,22,Tel,0.2705954434858422,1563,50,7,1.8627591912192962,subject_stimulus_zscore
13,12,lPO,25,Tel,0.23483913838101955,557,50,7,0.8017614441501214,subject_stimulus_zscore
13,12,lSP,28,Tel,0.27208144431503617,988,50,7,1.9068533314638119,subject_stimulus_zscore
13,12,rOB,56,Tel,0.2509018502001788,138,50,7,1.2783906988224885,subject_stimulus_zscore
13,12,rP,58,Tel,0.22587337336122784,1354,50,7,0.535720071618383,subject_stimulus_zscore
13,12,rPO,61,Tel,0.22959065316496421,624,50,7,0.646023009391953,subject_stimulus_zscore
13,12,rSP,64,Tel,0.22960200797605984,1066,50,7,0.6463599409892067,subject_stimulus_zscore
13,12,lHb,16,Di,0.1743872533598837,556,50,7,-0.9920288713055752,subject_stimulus_zscore
13,12,lPT,24,Di,0.1374744402298543,420,50,7,-2.0873437103006234,subject_stimulus_zscore
13,12,lPrT,26,Di,0.16768029075439647,541,50,7,-1.1910447425830402,subject_stimulus_zscore
13,12,lTh,30,Di,0.1828870301879639,901,50,7,-0.739814778189798,subject_stimulus_zscore
13,12,rHb,52,Di,0.2191269973553805,466,50,7,0.3355346855137054,subject_stimulus_zscore
13,12,rPT,60,Di,0.19052697864286938,499,50,7,-0.5131143941703641,subject_stimulus_zscore
13,12,rPrT,62,Di,0.22887084009205383,493,50,7,0.6246639778468885,subject_stimulus_zscore
13,12,rTh,66,Di,0.1828522986910975,1300,50,7,-0.7408453667760503,subject_stimulus_zscore
13,12,lTeO,29,Mes,0.19690564711636457,7514,50,7,-0.32384000298706567,subject_stimulus_zscore
13,12,lTS,32,Mes,0.14263645065996472,118,50,7,-1.9341712440561727,subject_stimulus_zscore
13,12,rTeO,65,Mes,0.2254385448401396,7228,50,7,0.5228173938980882,subject_stimulus_zscore
13,12,rTS,68,Mes,0.19173789609582864,144,50,7,-0.47718280991661993,subject_stimulus_zscore
13,12,lMON,0,Hind,0.2134253726406173,1012,50,7,0.16635023093252593,subject_stimulus_zscore
13,12,lCb,1,Hind,0.16864397694769617,1875,50,7,-1.162449257759449,subject_stimulus_zscore
13,12,lMOS1,2,Hind,0.14142461578211327,1217,50,7,-1.970130051081981,subject_stimulus_zscore
13,12,lMOS2,3,Hind,0.2080789332135302,627,50,7,0.007705198389267968,subject_stimulus_zscore
13,12,lMOS3,4,Hind,0.13934342902305227,1262,50,7,-2.0318851584992763,subject_stimulus_zscore
13,12,lMOS4,5,Hind,0.19736869338434743,967,50,7,-0.3101000193484225,subject_stimulus_zscore
13,12,lMOS5,6,Hind,0.2067128071483452,1257,50,7,-0.03283189494642619,subject_stimulus_zscore
13,12,lRa,10,Hind,0.2036168870303538,382,50,7,-0.12469721102607817,subject_stimulus_zscore
13,12,lT,11,Hind,0.17015801965220068,1384,50,7,-1.1175230302385541,subject_stimulus_zscore
13,12,laRF,12,Hind,0.15998454196136713,603,50,7,-1.419400891449025,subject_stimulus_zscore
13,12,limRF,13,Hind,0.22767544889479183,814,50,7,0.5891931045717232,subject_stimulus_zscore
13,12,lpRF,14,Hind,0.20441791727711156,953,50,7,-0.10092822022423996,subject_stimulus_zscore
13,12,lNX,35,Hind,0.20424216198184528,340,50,7,-0.10614341155249198,subject_stimulus_zscore
13,12,rMON,36,Hind,0.20373434020901138,1179,50,7,-0.12121201988072697,subject_stimulus_zscore
13,12,rCb,37,Hind,0.26319851951654466,1969,50,7,1.6432700789170258,subject_stimulus_zscore
13,12,rMOS1,38,Hind,0.2558576639025024,1455,50,7,1.4254446843404363,subject_stimulus_zscore
13,12,rMOS2,39,Hind,0.21898746082745654,648,50,7,0.3313942145862102,subject_stimulus_zscore
13,12,rMOS3,40,Hind,0.25515861020612907,1513,50,7,1.404701646301182,subject_stimulus_zscore
13,12,rMOS4,41,Hind,0.2078621280058955,1291,50,7,0.001271931971529848,subject_stimulus_zscore
13,12,rMOS5,42,Hind,0.21558039000184392,1685,50,7,0.23029611567798322,subject_stimulus_zscore
