species,node,n_recordings,level,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,class_order,class_label,class_short,fine_class,anatomy_group,fcv_rank
C. elegans,URBR,9,neuron,-0.557983647459191,0.32367250187145574,-0.026872455699128422,-0.444581935394153,-0.044400649944227426,4,integrative relay,integrative relay,interneuron / integrative,interneurons,82.0
C. elegans,URXL,15,neuron,-0.08666097768737342,0.15147162547596918,-1.2361464954191503,0.8625250421134564,-0.012236880924916496,2,other sensory,other sensory,thermo/gas sensory,sensory neurons,64.0
C. elegans,URXR,14,neuron,-0.7785050284118861,-0.13549278647738203,-0.3890914153731811,0.07675731742436684,0.1730343132831908,2,other sensory,other sensory,thermo/gas sensory,sensory neurons,92.0
C. elegans,URYDL,13,neuron,0.08228173748304389,0.20365539412808936,-0.5988143456492516,-0.05587653605609178,0.4713279009905391,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,61.0
C. elegans,URYDR,13,neuron,-0.23507704901501114,1.56677647817278,-0.017963333938010924,-0.00293467231866648,-0.11119450680425998,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,72.0
C. elegans,URYVL,17,neuron,0.4542544749059729,0.11363314396536604,-1.0701287441084077,-0.8199043832349807,-0.03776055372818194,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,51.0
C. elegans,URYVR,12,neuron,-0.38939744292506373,0.15197689180198215,-0.09419699122888202,-0.5980675472764413,0.3577640797142984,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,77.0
Drosophila,AL_L,20,side key,1.2518896188778854,0.8605258555803652,-1.2329252010188105,0.2581873936592288,-0.2241837451272404,-1,unclassified,unclassified,unclassified,olfactory neuropil,6.0
Drosophila,AL_R,20,side key,1.4273023323499165,0.9677563771875471,-1.2769447861300252,0.9314552761006917,-0.7160321305707171,0,olfactory / chemosensory,olfactory / chemosensory,olfactory system,olfactory neuropil,4.0
Drosophila,AME_L,19,side key,-1.7622726206961867,-1.9279945328495136,1.88466990797314,0.0014542903860132528,2.285817370295274,1,visual / optic,visual / optic,visual / optic,optic neuropil,65.0
Drosophila,AME_R,20,side key,-1.9244366076046122,-2.134242351505885,2.061568452359835,-0.046158255816470636,3.390780140045596,-1,unclassified,unclassified,unclassified,optic neuropil,66.0
