species,node,n_recordings,NetTE,NeighborNetTE,NetTE_z,NeighborNetTE_z
C. elegans,RID,14,0.0075413278279499035,0.0004100815383401337,1.6383277007805883,-0.6066629395571471
C. elegans,RIH,14,-0.002615374689225555,0.0011979443839698484,-0.5361068505247158,0.6318935778510527
C. elegans,RIML,7,-0.004505440351377331,0.00023844640339207567,-0.9407484232269443,-0.8764812412899121
C. elegans,RIMR,7,0.002064011324772575,0.00019806693357682327,0.4656965015500257,-0.9399596192672304
C. elegans,RIR,4,-0.004980101364506433,0.0020831963133771006,-1.0423679503677794,2.0235502003170978
C. elegans,RIS,3,0.003178909046194219,0.0011163481813100701,0.7043834299631816,0.5036206060252861
C. elegans,RIVL,18,0.0012423014511457942,0.0010501613718760681,0.2897777584991879,0.39957190688220534
C. elegans,RIVR,16,0.0007484697687970383,0.000699489583025279,0.18405400900347246,-0.1517002237450397
C. elegans,RMDDL,16,-0.002439066531608344,0.0007239755002212218,-0.49836127818452497,-0.11320723921609802
C. elegans,RMDDR,12,-0.003593218451594414,0.0011300675307891713,-0.7454520842831743,0.525188052448477
C. elegans,RMDL,14,0.004340820746695463,0.0009167515366035035,0.9531355168598268,0.18984552889680684
C. elegans,RMDR,5,-0.0018055194554480497,0.0007133325447570016,-0.36272605110646494,-0.12993845319301725
C. elegans,RMDVL,14,0.0012180409718755686,0.0009930506771495952,0.2845838656715505,0.3097912762057492
C. elegans,RMDVR,14,-0.001976940340780578,0.0014102133544110006,-0.39942531400720144,0.9655901320695525
C. elegans,RMED,3,-0.001748501943612326,0.0005362318707314975,-0.35051924997633443,-0.40834883295442614
C. elegans,RMEL,15,0.005139300040082849,0.0004823774874828255,1.1240808567580185,-0.49301039268355523
C. elegans,RMER,17,0.008422612045822068,0.0002379687164317707,1.827000633715344,-0.8772321870938025
C. elegans,RMEV,6,0.0047025155668331325,0.0005773717731212529,1.030570266238922,-0.34367502010360856
C. elegans,RMGL,6,-0.0031171963888848102,0.0009181578286171755,-0.6435411718990599,0.1920562844217997
C. elegans,SAADL,3,0.0038068544990262666,0.0017024985267338557,0.8388194131638375,1.425075824446512
C. elegans,SAADR,4,-0.003255420710525329,0.0018458535174907572,-0.6731334278795439,1.6504364428458222
C. elegans,SAAVL,11,-0.003943902121639802,0.0004169982706144358,-0.8205294715981768,-0.5957895192847934
C. elegans,SAAVR,4,-0.002349420919350145,0.00107889221417649,-0.4791691716580699,0.44473810830825805
C. elegans,SMBVR,2,-0.0017120967744017825,0.0010052451281535066,-0.34272531708879955,0.32896151230824955
C. elegans,SMDDL,6,0.0002763326735383158,0.0009906300930652937,0.08297482398772464,0.3059860070397056
C. elegans,SMDDR,4,-0.0011649068016315743,0.0003472785406748921,-0.22557816417107918,-0.7053921314495326
C. elegans,SMDVL,16,0.007530626293981112,0.000879758580140661,1.6360366240089337,0.1316909051835505
C. elegans,SMDVR,12,0.0012880911339139477,0.001173093186194234,0.29958080905974244,0.59282635550249
C. elegans,URADL,8,-0.003709397389908528,0.0015989926058514149,-0.7703246742972049,1.2623597709983767
C. elegans,URADR,4,-0.0011222052900417001,-0.00017742098216003518,-0.21643625595461127,-1.5302438391966477
C. elegans,URAVL,7,-0.0024920425677481253,0.0006875431403122302,-0.5097028453101489,-0.17048057944294534
C. elegans,URAVR,2,-0.004852281487454108,0.0038492841872093553,-1.015003167699766,4.799921314381003
C. elegans,URBL,15,-0.0021519104169506753,0.00040363190705052746,-0.4368844183203782,-0.616802055664643
C. elegans,URBR,9,-0.002075191009478394,0.0007472167391754823,-0.42045966529829293,-0.07667094595247394
C. elegans,URXL,15,0.004133687371756697,0.0006190748657760928,0.9087906159007129,-0.27811584633339936
C. elegans,URXR,14,0.0005805714092284328,0.0010163742593815128,0.14810887882602727,0.34645701687734887
C. elegans,URYDL,13,-0.0013014611174093547,0.001126642325683727,-0.2548128908803572,0.5198034729746002
C. elegans,URYDR,13,-0.0006748820009866379,0.000659283459298176,-0.12066942477293417,-0.21490609372374417
C. elegans,URYVL,17,-0.00478066939424849,0.0006081985908557959,-0.9996718326041216,-0.2952138491931359
C. elegans,URYVR,12,-0.0028180521482407957,0.0010566306830696148,-0.5794977905378003,0.4097419607010332
Drosophila,AL_L,20,0.0008718399727247418,1.1896988755645158e-05,0.300339098074468,-0.3116591526923767
Drosophila,AL_R,20,0.0017917583851594135,-4.585872516674231e-05,0.6234907293984412,-0.42372615943366776
Drosophila,AME_L,19,-0.0007179317290161839,0.0014932428217200075,-0.2581205565057714,2.5626883737200927
Drosophila,AME_R,20,-0.0005347692999542004,0.001984334045946059,-0.19377872254683345,3.5155832441719825
Drosophila,AMMC_L,20,-0.0017442013195454235,0.0002331862163681674,-0.6186315408222869,0.11772210984301491
Drosophila,AMMC_R,20,-0.0026572655772671514,0.00027586754131987885,-0.939375424625507,0.20053934135569848
Drosophila,ATL_L,20,-0.0021117727047938978,0.0003597226881584129,-0.7477530924354224,0.36324870234938705
Drosophila,ATL_R,20,-0.002050204063900986,-9.09919741658195e-05,-0.7261250801312799,-0.5113010117960307
Drosophila,AVLP_L,20,0.0020286865072171225,-0.00035958156085884264,0.7067195332951249,-1.0324621052770366
