species,shared_fine_order,shared_fine_label,metric,mean,other_group_mean,mean_minus_other_group_mean,relative_z_mean,leave_one_group_out_z_delta,sem,n
C. elegans,4,integrative,Pre-DCA,0.0171217409457072,0.0294041144469656,-0.0122823735012583,-0.3905847034853365,-0.4380389197966389,0.004343057672897,13
C. elegans,2,other sensory,Pre-DCA,0.0290231481548529,0.027666542196962,0.0013566059578909,0.033867423574633,0.0483820336780472,0.0049550606509377,36
C. elegans,0,olf./chemo,Pre-DCA,0.0192959085185627,0.0293274690508673,-0.0100315605323046,-0.3130451289908044,-0.3577658617037763,0.003988554326841,15
Drosophila,1,visual,Pre-DCA,-0.0312753149200557,0.0076371353735723,-0.038912450293628,-0.7272301613918022,-0.8153792718635359,0.0199647925427688,4
Drosophila,4,integrative,Pre-DCA,-0.0062816159086517,0.0176746505092001,-0.0239562664178518,-0.2035071897640789,-0.5019844014180612,0.0072093060009706,22
Drosophila,3,sensorimotor,Pre-DCA,0.0059648136916435,0.0029398492096065,0.0030249644820369,0.0531069472298054,0.0633857112097678,0.0011801150172115,6
Drosophila,0,olf./chemo,Pre-DCA,0.0638010273199725,-0.0018964374797721,0.0656974647997446,1.2650185436407118,1.3766378269031276,0.0617960131381404,3
Drosophila,5,assoc./state,Pre-DCA,0.0815145266042232,-0.0010315670160223,0.0825460936202455,1.6361907530379878,1.7296873674973017,0.0095075466169136,2
Zebrafish,3,sensorimotor,Pre-DCA,0.0021590667120459,-0.0042859402241177,0.0064450069361636,0.3939384539930509,0.7365949790639293,0.0004375969953621,147
Zebrafish,5,assoc./state,Pre-DCA,-0.0052061462782895,-0.0002533417473521,-0.0049528045309374,-0.4478261805764256,-0.566052292248602,0.0018618620576136,66
Zebrafish,4,integrative,Pre-DCA,-0.0015174955523714,-0.0012654556102039,-0.0002520399421675,-0.026253072720461,-0.0288054547905059,0.0004017965369534,28
Zebrafish,0,olf./chemo,Pre-DCA,-0.0022674305635348,-0.0012423743818399,-0.0010250561816949,-0.11196257921418,-0.1171528974558969,0.0016920912270697,14
Zebrafish,1,visual,Pre-DCA,-0.0050243334451294,-0.0003939480433421,-0.0046303854017872,-0.4270469290780812,-0.5292032532889164,0.000486135662668,61
