epsilon,run,layer,dynamic_fc_state,potential,fc_state_mean,fc_state_std
0.0,1,Layer 1,-1.059142083171713,,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-1.045389428513064,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-1.0316367738544148,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-1.0178841191957657,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-1.0041314645371164,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.9903788098784674,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.9766261552198182,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.962873500561169,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.9491208459025199,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.9353681912438707,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.9216155365852216,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.9078628819265724,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.8941102272679233,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.880357572609274,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.866604917950625,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.8528522632919758,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.8390996086333267,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.8253469539746775,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.8115942993160283,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.7978416446573793,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.78408898999873,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.770336335340081,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.7565836806814318,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.7428310260227826,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.7290783713641334,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.7153257167054843,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.7015730620468351,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.687820407388186,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.6740677527295369,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.6603150980708876,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.6465624434122386,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.6328097887535894,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.6190571340949402,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.6053044794362911,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.5915518247776419,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.5777991701189928,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.5640465154603436,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.5502938608016945,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.5365412061430453,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.5227885514843962,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.509035896825747,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.49528324216709785,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.4815305875084487,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.4677779328497995,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.45402527819115046,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.4402726235325013,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.42651996887385213,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.41276731421520296,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.3990146595565538,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.38526200489790463,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.37150935023925546,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.3577566955806063,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.34400404092195713,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.3302513862633081,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.3164987316046589,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.30274607694600975,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.2889934222873606,22.469784883552602,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.2752407676287114,17.290693168414542,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.26148811297006225,8.869405826726593,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.24773545831141308,6.5955175996593,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.23398280365276403,5.638022203001494,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.22023014899411486,5.022387122470644,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.2064774943354657,4.483112109427165,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.19272483967681653,4.1791507737427445,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.17897218501816736,3.9365420185689457,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.1652195303595182,3.767421519171608,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.15146687570086903,3.5785712367909865,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.13771422104221986,3.3797818908022452,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.1239615663835707,3.196209552630305,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.11020891172492164,3.0243607456243553,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.09645625706627248,2.955311358728978,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.08270360240762331,2.9291090213131854,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.06895094774897415,3.0053038699418266,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.05519829309032498,3.1552207169046027,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.041445638431675924,3.3773997206503434,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.027692983773026647,3.6561830822377726,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.013940329114377592,3.957529020027828,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,-0.00018767445572831498,3.9973950488429435,0.7576448226790057,0.30008554618003974
0.0,1,Layer 1,0.01356498020292074,3.977416348296805,0.7576448226790057,0.30008554618003974
