species,node_i,node_j,profile_corr
C. elegans,ADAR,SMBVR,-0.3346667972933465
C. elegans,ADAR,SMDDL,-0.8343617125002415
C. elegans,ADAR,SMDDR,-0.5210058108766296
C. elegans,ADAR,SMDVL,-0.8328949317583719
C. elegans,ADAR,SMDVR,-0.18796995843499192
C. elegans,ADAR,URADL,0.7488480954124459
C. elegans,ADAR,URADR,0.9219911351838663
C. elegans,ADAR,URAVL,0.575258986943628
C. elegans,ADAR,URAVR,0.8381271172751177
C. elegans,ADAR,URBL,0.12879687957401836
C. elegans,ADAR,URBR,0.7526154210134428
C. elegans,ADAR,URXL,-0.8442755505927879
C. elegans,ADAR,URXR,0.12865604221197102
C. elegans,ADAR,URYDL,-0.8763961840632645
C. elegans,ADAR,URYDR,0.17532287247747355
C. elegans,ADAR,URYVL,-0.9543510870010061
C. elegans,ADAR,URYVR,0.36948475789346386
C. elegans,ADEL,ADER,0.9608081688589194
C. elegans,ADEL,ADLL,0.8157674388374802
C. elegans,ADEL,ADLR,0.3466717279411946
C. elegans,ADEL,AIBL,-0.9204670965891741
C. elegans,ADEL,AIBR,-0.9094987065897138
C. elegans,ADEL,AIML,-0.2814459196996336
C. elegans,ADEL,AIMR,-0.3959633159578472
C. elegans,ADEL,AINL,0.3241513330637653
C. elegans,ADEL,AINR,0.7918326450522357
C. elegans,ADEL,AIYL,0.8860015023504838
C. elegans,ADEL,AIYR,0.22281300673072638
C. elegans,ADEL,AIZL,0.9152627577333035
C. elegans,ADEL,AIZR,0.9762953059314792
C. elegans,ADEL,ALA,0.87653132489594
C. elegans,ADEL,AQR,0.43193768940643323
C. elegans,ADEL,ASEL,-0.05128283406953097
C. elegans,ADEL,ASER,0.25103237353475466
C. elegans,ADEL,ASGL,-0.7094715489243979
C. elegans,ADEL,ASGR,-0.7494416668230518
C. elegans,ADEL,ASHL,0.19011864847597232
C. elegans,ADEL,ASIL,0.15312826611685276
C. elegans,ADEL,ASIR,0.41141767750609837
C. elegans,ADEL,ASKL,0.45534164688872353
C. elegans,ADEL,ASKR,0.7651627239455798
C. elegans,ADEL,AUAL,-0.0862841461949104
C. elegans,ADEL,AUAR,-0.5250782614581808
C. elegans,ADEL,AVAL,-0.7762680305259595
C. elegans,ADEL,AVAR,-0.7665570718346376
C. elegans,ADEL,AVBL,-0.9484651099627154
C. elegans,ADEL,AVBR,-0.5138746716746511
C. elegans,ADEL,AVDL,0.9596901343255938
C. elegans,ADEL,AVDR,0.9607560992815539
C. elegans,ADEL,AVEL,-0.8279583662563436
C. elegans,ADEL,AVER,-0.8765291129257419
C. elegans,ADEL,AVHL,0.9531534758295418
C. elegans,ADEL,AVJL,0.9002584711757916
C. elegans,ADEL,AVJR,0.9435765498392863
C. elegans,ADEL,AVKL,0.035299774484674994
C. elegans,ADEL,AVKR,0.28232243395093953
C. elegans,ADEL,AVL,0.4149933430605173
C. elegans,ADEL,AWAL,-0.22819412758977525
C. elegans,ADEL,AWAR,0.8252283615653564
C. elegans,ADEL,AWBL,0.5178205253962277
C. elegans,ADEL,AWBR,0.9962566101900924
C. elegans,ADEL,AWCL,0.42891233291489145
C. elegans,ADEL,AWCR,0.8239695268945612
C. elegans,ADEL,BAGL,-0.9731787475458477
C. elegans,ADEL,CEPDL,0.4473442166523559
C. elegans,ADEL,CEPDR,0.9137658339079199
C. elegans,ADEL,CEPVL,0.07941720090469125
C. elegans,ADEL,CEPVR,0.6805860576043534
C. elegans,ADEL,FLPL,0.8829442359282397
C. elegans,ADEL,FLPR,0.9714876790355568
C. elegans,ADEL,IL1DL,-0.08766880311028716
C. elegans,ADEL,IL1DR,-0.6291958203300607
C. elegans,ADEL,IL1L,-0.4546357955007282
C. elegans,ADEL,IL1R,-0.9875093541363668
C. elegans,ADEL,IL1VL,0.48813081014471577
C. elegans,ADEL,IL1VR,-0.9943525562245413
C. elegans,ADEL,IL2DL,0.9184855239385087
C. elegans,ADEL,IL2DR,0.9563937069222992
C. elegans,ADEL,IL2L,0.9779946771990761
C. elegans,ADEL,IL2R,0.5967850959317927
C. elegans,ADEL,IL2VL,0.9895315589761537
C. elegans,ADEL,IL2VR,0.9112424319584808
C. elegans,ADEL,OLLL,-0.5936711205230909
C. elegans,ADEL,OLLR,-0.4916774236863652
C. elegans,ADEL,OLQDL,-0.7408409867838748
C. elegans,ADEL,OLQDR,-0.29879409144456004
C. elegans,ADEL,OLQVL,-0.6972293533583234
C. elegans,ADEL,OLQVR,-0.4809003850382597
C. elegans,ADEL,RIAL,0.9648683530624661
C. elegans,ADEL,RIAR,0.9977924150268769
C. elegans,ADEL,RIBL,-0.9626918589775506
C. elegans,ADEL,RIBR,-0.9269584228487833
C. elegans,ADEL,RICL,0.612160242735981
C. elegans,ADEL,RICR,0.8980665590884168
C. elegans,ADEL,RID,-0.8632338920568807
C. elegans,ADEL,RIH,-0.39708478096825894
C. elegans,ADEL,RIML,-0.8330185861304017
C. elegans,ADEL,RIMR,-0.818227777746853
C. elegans,ADEL,RIR,0.055289589375722564
C. elegans,ADEL,RIS,-0.9259542356025946
C. elegans,ADEL,RIVL,-0.7066412096807834
C. elegans,ADEL,RIVR,-0.7063579769819078
C. elegans,ADEL,RMDDL,0.1911535405100913
C. elegans,ADEL,RMDDR,0.9517566165638788
C. elegans,ADEL,RMDL,-0.8331528650407901
C. elegans,ADEL,RMDR,-0.19264843887209387
C. elegans,ADEL,RMDVL,0.24432440946029813
C. elegans,ADEL,RMDVR,0.8761916066794744
C. elegans,ADEL,RMED,-0.6862226934430157
C. elegans,ADEL,RMEL,-0.9879703003241208
C. elegans,ADEL,RMER,-0.9767816444638961
C. elegans,ADEL,RMEV,-0.8963416615810785
C. elegans,ADEL,RMGL,0.9718053744227856
C. elegans,ADEL,SAADL,-0.24939741076868574
C. elegans,ADEL,SAADR,0.1773010421621289
C. elegans,ADEL,SAAVL,0.330976176665395
C. elegans,ADEL,SAAVR,0.356518012429239
C. elegans,ADEL,SMBVR,-0.6028092031331939
C. elegans,ADEL,SMDDL,-0.6654346518670151
C. elegans,ADEL,SMDDR,-0.7089274002796782
C. elegans,ADEL,SMDVL,-0.9793323068066985
C. elegans,ADEL,SMDVR,-0.5233059047127232
C. elegans,ADEL,URADL,0.9311273434456002
C. elegans,ADEL,URADR,0.9974222737054372
C. elegans,ADEL,URAVL,0.8317455110290772
C. elegans,ADEL,URAVR,0.9264611347672944
C. elegans,ADEL,URBL,0.2147385357281407
C. elegans,ADEL,URBR,0.6105447533429366
C. elegans,ADEL,URXL,-0.6630229053211018
C. elegans,ADEL,URXR,0.4720584972378111
C. elegans,ADEL,URYDL,-0.8296180356875734
C. elegans,ADEL,URYDR,0.12318155578620804
C. elegans,ADEL,URYVL,-0.9733713364592302
C. elegans,ADEL,URYVR,0.6445882460774832
C. elegans,ADER,ADLL,0.9424456018576317
C. elegans,ADER,ADLR,0.5650775438914395
C. elegans,ADER,AIBL,-0.9132290271572132
C. elegans,ADER,AIBR,-0.89256198012115
