species,shared_fine_order,shared_fine_label,metric,mean,other_group_mean,mean_minus_other_group_mean,relative_z_mean,leave_one_group_out_z_delta,sem,n
C. elegans,0,olf./chemo,Pre-DCA,0.019295908518562728,0.029327469050867392,-0.010031560532304664,-0.3130451289908044,-0.3577658617037763,0.003988554326841018,15
Drosophila,1,visual,Pre-DCA,-0.0312753149200557,0.00763713537357234,-0.03891245029362804,-0.7272301613918022,-0.8153792718635359,0.019964792542768856,4
Drosophila,4,integrative,Pre-DCA,-0.006281615908651719,0.017674650509200147,-0.023956266417851868,-0.2035071897640789,-0.5019844014180612,0.007209306000970616,22
Drosophila,3,sensorimotor,Pre-DCA,0.005964813691643517,0.0029398492096065587,0.0030249644820369583,0.05310694722980548,0.06338571120976784,0.0011801150172115998,6
Drosophila,0,olf./chemo,Pre-DCA,0.0638010273199725,-0.0018964374797721501,0.06569746479974466,1.2650185436407118,1.3766378269031276,0.06179601313814042,3
Drosophila,5,assoc./learning,Pre-DCA,0.0815145266042232,-0.001031567016022342,0.08254609362024555,1.6361907530379878,1.7296873674973015,0.009507546616913698,2
Zebrafish,3,sensorimotor,Pre-DCA,0.0021590667120459307,-0.004285940224117717,0.006445006936163648,0.3939384539930509,0.7365949790639293,0.0004375969953621111,147
Zebrafish,6,state-mod.,Pre-DCA,0.004708504104526828,-0.002107425349558137,0.006815929454084964,0.685311729668232,0.7789874337236018,0.0008785705363477578,38
Zebrafish,4,integrative,Pre-DCA,-0.0015174955523714823,-0.0012654556102039615,-0.0002520399421675208,-0.02625307272046105,-0.028805454790505905,0.00040179653695342834,28
Zebrafish,0,olf./chemo,Pre-DCA,-0.002267430563534841,-0.001242374381839916,-0.001025056181694925,-0.11196257921418001,-0.11715289745589699,0.001692091227069755,14
Zebrafish,5,assoc./learning,Pre-DCA,-0.018661743226397465,0.00040134624699300874,-0.019063089473390474,-1.9856562016227473,-2.1787061101138474,0.002566894830519433,28
Zebrafish,1,visual,Pre-DCA,-0.005024333445129436,-0.0003939480433421447,-0.004630385401787291,-0.4270469290780812,-0.5292032532889164,0.000486135662668015,61
