species,node,fc_fdr_q,n_recordings,NeighborNetTE,n_fc_neighbors,NeighborNetTE_z
Drosophila,GOR_L,0.001,20,0.0003603195866043,42.05,0.3644069015580436
Drosophila,GOR_R,0.001,20,0.0002241339508293,44.65,0.1001574355576119
Drosophila,IB_L,0.001,20,0.000186671431242,48.8,0.0274665769392657
Drosophila,IB_R,0.001,20,0.0001371112413777,51.2,-0.0686981443398259
Drosophila,ICL_L,0.001,20,0.0001316335632777,51.1,-0.0793268241164832
Drosophila,ICL_R,0.001,20,0.0001553534592116,51.05,-0.0333016335856197
Drosophila,IPS_L,0.001,20,7.088328930166327e-05,47.1,-0.1972043621271079
Drosophila,IPS_R,0.001,20,1.7494224244408245e-05,45.25,-0.3007984882723207
Drosophila,IVLP_L,0.001,20,0.0001305502537602,46.45,-0.0814288370042358
Drosophila,IVLP_R,0.001,20,0.0001205632351226,46.2,-0.1008072709109924
Drosophila,LAL_L,0.001,20,-1.2528975539457262e-05,52.0,-0.3590543716139234
Drosophila,LAL_R,0.001,20,-4.518863631777503e-05,52.55,-0.4224259443301822
Drosophila,LB_L,0.001,20,-0.0006589452484422,22.0,-1.613336102256539
Drosophila,LB_R,0.001,20,0.0001892060577693,19.4,0.0323846705585655
Drosophila,LH_L,0.001,20,8.99384273153211e-05,47.55,-0.160230491747764
Drosophila,LH_R,0.001,20,9.000591965260506e-05,41.35,-0.1600995321646559
Drosophila,LOP_R,0.001,9,-0.0020771973941338,2.111111111111111,-4.365259019972795
Drosophila,LO_L,0.001,20,0.001000796977235,16.2,1.607165049261248
Drosophila,LO_R,0.001,20,0.0018256347153772,17.75,3.2076490547929537
Drosophila,MB_L,0.001,20,-0.0001511287933903,51.4,-0.627988225367528
Drosophila,MB_R,0.001,20,-6.481940736136482e-05,49.7,-0.4605167513079133
Drosophila,ME_L,0.001,19,0.0011939789682789,12.63157894736842,1.9820080911410172
Drosophila,ME_R,0.001,19,0.0001263209807987,16.68421052631579,-0.0896351585834011
Drosophila,NO,0.001,20,8.636298572271237e-05,34.35,-0.1671681436240861
Drosophila,OTU_L,0.001,20,0.0002356303946515,45.95,0.1224647011046206
Drosophila,OTU_R,0.001,20,0.0002300500233644,42.2,0.1116367593449093
Drosophila,PB,0.001,20,-3.642012843727328e-05,38.7,-0.405411862691857
Drosophila,PLP_L,0.001,20,1.959999053644531e-05,51.4,-0.2967125388619745
Drosophila,PLP_R,0.001,20,0.0001327155421642,50.5,-0.0772273931351017
Drosophila,PRW,0.001,20,0.0001671165142068,40.8,-0.0104770457844595
Drosophila,PVLP_L,0.001,20,0.0001169120910804,51.0,-0.1078918129623044
Drosophila,PVLP_R,0.001,20,-1.762909987070064e-05,49.95,-0.3689504603122457
Drosophila,SAD,0.001,20,1.0730238023017771e-05,52.45,-0.313923071763561
Drosophila,SCL_L,0.001,20,8.465830346640015e-05,49.5,-0.1704758447143474
Drosophila,SCL_R,0.001,20,1.582110649118307e-05,48.3,-0.3040449427925025
Drosophila,SIP_L,0.001,20,-4.448705593338329e-05,46.95,-0.4210646242403147
Drosophila,SIP_R,0.001,20,-0.0001388927449091,48.25,-0.6042458588636983
Drosophila,SLP_L,0.001,20,-1.864262937638744e-05,50.45,-0.3709170746995067
Drosophila,SLP_R,0.001,20,0.000138806783204,48.3,-0.0654081789948698
Drosophila,SMP_L,0.001,20,-0.0001428925510165,51.35,-0.6120069316228365
Drosophila,SMP_R,0.001,20,-0.0001829972275159,52.95,-0.6898245317594243
Drosophila,SOG,0.001,20,7.722110591776013e-05,46.5,-0.1849067020480438
Drosophila,SPS_L,0.001,20,7.165054284182176e-06,51.9,-0.3208408196877046
Drosophila,SPS_R,0.001,20,0.000107245397935,50.55,-0.1266486993779746
Drosophila,VES_L,0.001,20,2.329485355607476e-05,52.4,-0.2895431661573899
Drosophila,VES_R,0.001,20,3.256549161439435e-05,51.2,-0.2715547700798366
Drosophila,WED_L,0.001,20,0.000691618363493,30.65,1.007246540123738
Drosophila,WED_R,0.001,20,0.0007741018162527,25.4,1.1672943177148862
Zebrafish,Cb,0.001,7,0.0003049942617855,74.91103896103895,0.1838459198448337
Zebrafish,HR,0.001,2,0.0003933774267321,128.33333333333334,0.4131243062261776
Zebrafish,Hb,0.001,6,0.0004927051677131,44.99166666666667,0.6707944653431275
Zebrafish,Hi,0.001,3,-0.0005867435413052,72.5,-2.1294476207460717
Zebrafish,MON,0.001,7,-5.3429763738774005e-05,49.61156462585034,-0.7459565177822078
Zebrafish,MOS1,0.001,7,0.000236195055332,92.07142857142856,0.0053710819103853
