species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group
C. elegans,IL2DR,-0.7618633025286567,-0.000330936826991,0.0282467465529814,0.3780383613140245,1-hop induced structural neighborhood modularity Q,22.0,4.0,2.0455399900041544,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL2L,-0.5413112599527531,0.0214399059599486,0.0207946452853961,0.4087534626038781,1-hop induced structural neighborhood modularity Q,29.0,4.0,1.9095425048844383,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL2R,0.0582789090686981,0.0348992853034019,0.0434480259894494,0.4042315455594002,1-hop induced structural neighborhood modularity Q,37.0,4.0,1.992430164690206,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL2VL,-1.204093230845751,0.0085666374188124,0.0879947238929901,0.26797920146002996,1-hop induced structural neighborhood modularity Q,23.0,3.0,3.0349529867072724,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,IL2VR,-0.6951096324652956,0.0041169460878454,0.0259245979936007,0.21101455520444315,1-hop induced structural neighborhood modularity Q,39.0,4.0,2.3092296357127142,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,OLLL,0.6043314415104001,-0.0479790230159389,0.0389772717467841,0.34204313022398425,1-hop induced structural neighborhood modularity Q,50.0,5.0,1.4744016286301571,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,OLLR,0.4679520859572197,-0.0655555465092243,0.0191452047984926,0.43985174355665413,1-hop induced structural neighborhood modularity Q,98.0,6.0,0.8945169323245945,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,OLQDL,1.044455240180571,-0.0326671478443268,0.0288424075297569,0.5248762226784205,1-hop induced structural neighborhood modularity Q,15.0,5.0,-0.4542552722775964,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,OLQDR,0.2260494381273295,-0.0663809698349078,0.0168308790072615,0.4286439550435909,1-hop induced structural neighborhood modularity Q,35.0,4.0,-0.5447271754416722,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,OLQVL,1.1522735251549137,-0.0640467284785841,0.0290035707616337,0.49102068811063515,1-hop induced structural neighborhood modularity Q,43.0,4.0,-0.7835312420282143,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,OLQVR,0.3974154971940922,0.0031116311161349,0.0084779199831973,0.400503363506727,1-hop induced structural neighborhood modularity Q,43.0,4.0,0.2341933875007947,node_mean,,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons
C. elegans,RIAL,-0.135090286859046,-0.1068063283929411,0.0354208623053253,0.42012042104460245,1-hop induced structural neighborhood modularity Q,221.0,5.0,-0.0813846037821148,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,RIAR,-0.9000943161439778,-0.1128020250203805,0.0216750078415792,0.4450689391668671,1-hop induced structural neighborhood modularity Q,219.0,5.0,0.0597879183789734,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,RIBL,1.0562991765375076,-0.0017944493823752,0.0543817177280561,0.4358090848488012,1-hop induced structural neighborhood modularity Q,108.0,5.0,-0.9702311220199028,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,RIBR,1.0345687486246304,-0.0082841723681434,0.0584895164387816,0.3769807638799111,1-hop induced structural neighborhood modularity Q,122.0,4.0,-1.297815632436311,node_mean,,5,associative / learning,associative / learning,associative interneuron,interneurons
C. elegans,RICL,-0.5805296414732438,-0.1487716846368256,0.0147470578981035,0.4306980168526355,1-hop induced structural neighborhood modularity Q,102.0,5.0,0.0652405218684009,node_mean,,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
C. elegans,RICR,-0.9067290125922598,-0.125830984124138,0.0181399683287866,0.4578635417006111,1-hop induced structural neighborhood modularity Q,148.0,5.0,-0.0582689081239757,node_mean,,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory
