predictor,label,outcome,method,n,r,abs_r,p,q_bh
MeanTargetLocal2StepPathCount,Target local 2-step paths,ZFCS,pearson,47,0.12540444056551253,0.12540444056551253,0.40096335423229346,0.4510837735113301
MeanTargetLocal2StepPathCount,Target local 2-step paths,ZFCS,spearman,47,0.21993524514338578,0.21993524514338578,0.13742332004932203,0.17668712577769977
MeanTargetInterOutDegree,Target inter out-degree,ZFCS,pearson,47,0.48947322225145073,0.48947322225145073,0.00047995374729156194,0.0014398612418746858
MeanTargetInterOutDegree,Target inter out-degree,ZFCS,spearman,47,0.24930619796484738,0.24930619796484738,0.0910406597302598,0.14060640346247075
MeanTargetDownstreamRegionCount,Target downstream regions,ZFCS,pearson,47,0.5020596428947326,0.5020596428947326,0.0003235644506306513,0.0011648320222703448
MeanTargetDownstreamRegionCount,Target downstream regions,ZFCS,spearman,47,0.19530527289546717,0.19530527289546717,0.18830779009457682,0.2259693481134922
AreaDCA,Area-level DCA,ZFCS,pearson,47,0.06375447237900791,0.06375447237900791,0.6702953132081367,0.6702953132081367
AreaDCA,Area-level DCA,ZFCS,spearman,47,-0.08845975948196115,0.08845975948196115,0.554332594653234,0.554332594653234
AreaLogOutInStrength,Area out/in strength,ZFCS,pearson,47,-0.27728293122540504,0.27728293122540504,0.05916649629279246,0.07099979555135096
AreaLogOutInStrength,Area out/in strength,ZFCS,spearman,47,-0.2417900092506938,0.2417900092506938,0.10154906916734,0.14060640346247075
AreaReach2,Area 2-step reach,ZFCS,pearson,47,0.5058925804827179,0.5058925804827179,0.00028608010126341695,0.0011648320222703448
AreaReach2,Area 2-step reach,ZFCS,spearman,47,0.3821018687430697,0.3821018687430697,0.008039078399622732,0.02067191588474417
LogNRegionNeurons,Region neuron count,ZFCS,pearson,47,0.32799025694126016,0.32799025694126016,0.02440442639579101,0.03660663959368652
LogNRegionNeurons,Region neuron count,ZFCS,spearman,47,0.28850601295097134,0.28850601295097134,0.0492202253393395,0.0885964056108111
LogIntraEdges,Intra-area edges,ZFCS,pearson,47,0.43653012392500684,0.43653012392500684,0.0021577738940947596,0.003883993009370567
LogIntraEdges,Intra-area edges,ZFCS,spearman,47,0.3286308973172988,0.3286308973172988,0.024110786873358405,0.04822157374671681
LogInterOutEdges,Inter-area out edges,ZFCS,pearson,47,0.6536510302393019,0.6536510302393019,6.309375206407515e-07,3.785625123844509e-06
LogInterOutEdges,Inter-area out edges,ZFCS,spearman,47,0.4975716928769658,0.4975716928769658,0.0003730590053854535,0.002238354032312721
LogInterInEdges,Inter-area in edges,ZFCS,pearson,47,0.7056748383428444,0.7056748383428444,3.03191815148491e-08,5.457452672672838e-07
LogInterInEdges,Inter-area in edges,ZFCS,spearman,47,0.5575855689176689,0.5575855689176689,4.670586906307758e-05,0.00042035282156769823
IntraPostDCA,Intra Post-DCA,RawFCS,pearson,47,-0.3086679569854396,0.3086679569854396,0.034773300899589514,0.048147647399431635
IntraPostDCA,Intra Post-DCA,RawFCS,spearman,47,-0.38748843663274746,0.38748843663274746,0.007124287546896212,0.01831959654916169
IntraPreDCA,Intra Pre-DCA,RawFCS,pearson,47,0.4630082830260594,0.4630082830260594,0.0010484637752615543,0.0026960497078154255
IntraPreDCA,Intra Pre-DCA,RawFCS,spearman,47,0.40020814061054577,0.40020814061054577,0.005314137719942404,0.015942413159827213
GlobalPreDCA,Global Pre-DCA,RawFCS,pearson,47,0.33564013041204854,0.33564013041204854,0.021086869140969165,0.03163030371145375
GlobalPreDCA,Global Pre-DCA,RawFCS,spearman,47,0.2593663274745606,0.2593663274745606,0.07832123829074387,0.12974706802364047
GlobalPostDCA,Global Post-DCA,RawFCS,pearson,47,-0.4554798704148046,0.4554798704148046,0.001294881412479701,0.002913483178079327
GlobalPostDCA,Global Post-DCA,RawFCS,spearman,47,-0.47698889916743764,0.47698889916743764,0.0006993232419671717,0.0029034964150439512
RegionMeanGlobalDCA,Region mean global DCA,RawFCS,pearson,47,0.04936657650579522,0.04936657650579522,0.7417567703652503,0.7417567703652503
RegionMeanGlobalDCA,Region mean global DCA,RawFCS,spearman,47,0.11343663274745605,0.11343663274745605,0.4477348833238092,0.4740722294016803
GlobalPostCOut,Target global c_out,RawFCS,pearson,47,0.3483789494450271,0.3483789494450271,0.0164056080031443,0.026845540368781583
GlobalPostCOut,Target global c_out,RawFCS,spearman,47,0.12812210915818686,0.12812210915818686,0.39075234047559537,0.4395963830350448
GlobalPostCIn,Target global c_in,RawFCS,pearson,47,0.6359701373640351,0.6359701373640351,1.5570425917808554e-06,1.2965640960353304e-05
GlobalPostCIn,Target global c_in,RawFCS,spearman,47,0.6000231267345051,0.6000231267345051,8.283723353251414e-06,0.00014910702035852546
TargetDCAEnrichmentZ,Target-cell DCA enrichment,RawFCS,pearson,47,-0.4230499702030867,0.4230499702030867,0.003049776678749624,0.006099553357499248
TargetDCAEnrichmentZ,Target-cell DCA enrichment,RawFCS,spearman,47,-0.4721322849213691,0.4721322849213691,0.0008065267819566531,0.0029034964150439512
MeanTargetLocal2StepPathCount,Target local 2-step paths,RawFCS,pearson,47,0.12138363657342388,0.12138363657342388,0.4163511881983182,0.4683950867231079
MeanTargetLocal2StepPathCount,Target local 2-step paths,RawFCS,spearman,47,0.22409805735430158,0.22409805735430158,0.1299492665347002,0.1670776284017574
MeanTargetInterOutDegree,Target inter out-degree,RawFCS,pearson,47,0.48657863046317607,0.48657863046317607,0.0005243942804183043,0.0016320433784065079
MeanTargetInterOutDegree,Target inter out-degree,RawFCS,spearman,47,0.2341581868640148,0.2341581868640148,0.11314965668258069,0.15870691719333668
MeanTargetDownstreamRegionCount,Target downstream regions,RawFCS,pearson,47,0.4950810471578125,0.4950810471578125,0.0004033839020092808,0.0016320433784065079
MeanTargetDownstreamRegionCount,Target downstream regions,RawFCS,spearman,47,0.18443570767807585,0.18443570767807585,0.2145838909166188,0.25750066909994257
AreaDCA,Area-level DCA,RawFCS,pearson,47,0.05575933467841809,0.05575933467841809,0.70969700806589,0.7417567703652503
AreaDCA,Area-level DCA,RawFCS,spearman,47,-0.09747918593894543,0.09747918593894543,0.5145021374860006,0.5145021374860006
AreaLogOutInStrength,Area out/in strength,RawFCS,pearson,47,-0.2785242692823717,0.2785242692823717,0.05799286311951384,0.06959143574341661
AreaLogOutInStrength,Area out/in strength,RawFCS,spearman,47,-0.2332331174838113,0.2332331174838113,0.11462166241740983,0.15870691719333668
AreaReach2,Area 2-step reach,RawFCS,pearson,47,0.4853704334407433,0.4853704334407433,0.0005440144594688359,0.0016320433784065079
AreaReach2,Area 2-step reach,RawFCS,spearman,47,0.35375723679292387,0.35375723679292387,0.01471227680265844,0.03310262280598149
LogNRegionNeurons,Region neuron count,RawFCS,pearson,47,0.2946926281248396,0.2946926281248396,0.04434579314946833,0.05701601976360214
LogNRegionNeurons,Region neuron count,RawFCS,spearman,47,0.2585568917668825,0.2585568917668825,0.07928987490333585,0.12974706802364047
LogIntraEdges,Intra-area edges,RawFCS,pearson,47,0.41153786343980203,0.41153786343980203,0.004053920696593522,0.0072970572538683404
LogIntraEdges,Intra-area edges,RawFCS,spearman,47,0.3016882516188714,0.3016882516188714,0.039315701711985195,0.07863140342397039
LogInterOutEdges,Inter-area out edges,RawFCS,pearson,47,0.6292673316581437,0.6292673316581437,2.160940160058884e-06,1.2965640960353304e-05
LogInterOutEdges,Inter-area out edges,RawFCS,spearman,47,0.47548566142460685,0.47548566142460685,0.0007310508752185966,0.0029034964150439512
LogInterInEdges,Inter-area in edges,RawFCS,pearson,47,0.6861730470963051,0.6861730470963051,1.0173397315879636e-07,1.8312115168583345e-06
LogInterInEdges,Inter-area in edges,RawFCS,spearman,47,0.5426688251618872,0.5426688251618872,8.124340135761283e-05,0.0007311906122185155
