species,unit_type,node,n_edge_values,summary_from_sample,edge_target_dca_mean,edge_target_dca_median,edge_target_dca_q05,edge_target_dca_q25,edge_target_dca_q75,edge_target_dca_q95,edge_target_dca_frac_positive,edge_target_dca_frac_negative,edge_target_dca_weighted_mean,edge_weight_sum,EdgeStdFCV,PostDCA
C. elegans,neuron,AWCR,17,False,0.026886536691402133,0.0100271030810712,-0.01169996960569834,0.0012844460562063,0.0554327530766796,0.09308147683818352,0.7647058823529411,0.23529411764705882,0.030966641100035792,111.0,0.3304063149027885,0.0309666411000357
C. elegans,neuron,IL2L,13,False,0.00782182224168953,0.0026736574149218,-0.06091547115398732,-0.0106772007762209,0.0237330101588609,0.08516159393614307,0.6153846153846154,0.38461538461538464,0.021439905959948692,107.0,0.3302725772632353,0.0214399059599486
C. elegans,neuron,AINR,17,False,0.0102681909470354,0.0109903084021657,-0.01993519156156444,-0.0008800357116551,0.0200250838331974,0.036786124817595064,0.7058823529411765,0.29411764705882354,0.005004504278884701,52.0,0.3297581771604672,0.0050045042788847
C. elegans,neuron,CEPDL,26,False,0.009409623657815187,0.0046606765356386,-0.0363910523583771,-0.001934929691245925,0.03390321128010887,0.08265333063093455,0.6538461538461539,0.34615384615384615,0.0018778648141152435,175.0,0.3296426373461737,0.0018778648141152
C. elegans,neuron,AVL,18,False,0.001954865568722251,-0.00028623748893114997,-0.026099345303955048,-0.013210364368455099,0.00190508010357955,0.06142404125615988,0.5,0.5,-0.00695894028065694,53.0,0.3288963671533629,-0.0069589402806569
C. elegans,neuron,AVKR,17,False,-0.014268945950352463,-0.0014886382814708,-0.09731070196093486,-0.022607016953492,0.0059995112878686,0.039747643356576,0.47058823529411764,0.5294117647058824,-0.013546221034153167,37.0,0.3286222601610877,-0.0135462210341531
C. elegans,neuron,SAAVR,14,False,-0.026784983453686326,-0.00978064918168515,-0.20555860278597632,-0.02911833700300985,0.0003916942877106751,0.10168878656264471,0.2857142857142857,0.7142857142857143,-0.15536878696863587,108.0,0.3284400070992513,-0.1553687869686358
C. elegans,neuron,AVBR,19,False,-0.04409754312181798,-0.0056196904394208,-0.35058603097410457,-0.01202474241945515,-0.0023348924750475498,0.018740759439774077,0.15789473684210525,0.8421052631578947,-0.15953827469621845,56.0,0.3282464458072793,-0.1595382746962184
C. elegans,neuron,IL2VR,14,False,0.006415188943223916,0.0040460030416481,-0.14270838764581031,-0.0064885942932445245,0.042986044016836075,0.14264719501854767,0.5714285714285714,0.42857142857142855,0.004116946087845419,150.0,0.3275475217451253,0.0041169460878454
C. elegans,neuron,AUAR,10,False,-0.00018191634744289115,0.016293410377097,-0.2306469560485298,0.0054006286754335504,0.029732773525946277,0.17085660172723321,0.8,0.2,0.039736044629798364,80.0,0.3274902236394654,0.0397360446297983
C. elegans,neuron,ADAR,18,False,-0.021256220397392597,-0.00697095916899385,-0.11295694662648359,-0.042513668545944724,0.0254113430604383,0.06037838911793289,0.4444444444444444,0.5555555555555556,-0.04561813317627367,97.0,0.3270550377194187,-0.0456181331762736
C. elegans,neuron,URBL,17,False,0.007525779427895592,0.0168228343960321,-0.09106304469164243,-0.0162814828485094,0.0473587281822159,0.08129040862951808,0.5882352941176471,0.4117647058823529,0.015135669030457958,63.0,0.32699685907927,0.0151356690304579
C. elegans,neuron,AWBR,15,False,0.039836227483604006,0.0144173800866849,-0.013281413871073924,0.0058136520989751,0.05898526360245811,0.14032741808300606,0.9333333333333333,0.06666666666666667,0.041297358488300975,40.0,0.3267566902921516,0.0412973584883009
C. elegans,neuron,URXR,26,False,-0.00796201172610896,0.00643599922270405,-0.18025659654756515,-0.018119782354302272,0.0292337016767113,0.06978827923384576,0.6153846153846154,0.38461538461538464,0.03045548449230968,131.0,0.3260604476420717,0.0304554844923096
C. elegans,neuron,CEPVL,21,False,0.001647772593675471,0.0076180450879155,-0.166929900213257,-0.0206961506713613,0.0391478014843088,0.0832728406315784,0.5714285714285714,0.42857142857142855,0.008011582336464049,138.0,0.3255136225564881,0.008011582336464
C. elegans,neuron,URYVR,16,False,-0.04416712477248821,-0.0340240802928646,-0.23395280607022617,-0.06517417320480293,0.0026266747769803497,0.097176207333494,0.3125,0.6875,-0.09658661235875285,138.0,0.3254734578890412,-0.0965866123587528
C. elegans,neuron,URAVL,12,False,-0.02263794752733475,-0.00630152678221355,-0.18744717270331546,-0.032989535465802904,0.022435649469781323,0.06641609952722335,0.4166666666666667,0.5833333333333334,-0.03161934828801723,57.0,0.3251138994307036,-0.0316193482880172
C. elegans,neuron,AQR,19,False,-0.016056238952392787,0.0168228343960321,-0.35058603097410457,-0.0397736027732186,0.03504415324907275,0.15066471822958358,0.5789473684210527,0.42105263157894735,-0.020944424429797347,84.0,0.3250557021586057,-0.0209444244297973
C. elegans,neuron,ADAL,21,False,-0.0273022558068137,0.0076180450879155,-0.3475908601190945,-0.045889205956579,0.0249817878069856,0.0832728406315784,0.5238095238095238,0.47619047619047616,-0.050646030383513896,86.0,0.3248013011434271,-0.0506460303835138
