species,node,class_order,class_label,EdgeStdFCV,PostDCA,PreDCA,Modularity,LogOutIn,sc_profile_cluster,cluster_order
C. elegans,SAAVR,3,sensorimotor output,-0.0947303247555859,-0.1553687869686358,-0.0550444047887704,0.3556266497146253,0.8846853924588238,4,100.0
C. elegans,SMBVR,3,sensorimotor output,0.720566827203706,0.0171129176168821,0.0277254575230129,0.3268780381530752,-0.5212969236332861,3,37.0
C. elegans,SMDDL,3,sensorimotor output,0.4548987190159245,0.0352876123337124,0.0629079901978605,0.3894483134515569,-0.8338145100499166,3,46.0
C. elegans,SMDDR,3,sensorimotor output,0.2208586436124091,0.0087023418880462,0.0624276012326744,0.4206810395498433,-1.1997974329154553,3,20.0
C. elegans,SMDVL,3,sensorimotor output,1.1500043900545958,0.0353375882419749,0.0865327352777593,0.4092896338557481,-0.0359320092260633,1,12.0
C. elegans,SMDVR,3,sensorimotor output,0.4941198092821146,0.0272627736396793,0.0623310882135218,0.4294394768133175,-0.1987345864352847,1,4.0
C. elegans,URADL,3,sensorimotor output,-1.7373366046987515,-0.006445655224464,0.008569245915579,0.1052260952668376,-0.1643030512912763,3,40.0
C. elegans,URADR,3,sensorimotor output,-1.6302583024171546,-0.0164230688380995,0.0245333262156602,0.0996444444444444,0.0,1,1.0
C. elegans,URAVL,3,sensorimotor output,-1.038814546608589,-0.0316193482880172,-0.0198106262262553,0.3676983310470965,0.5340824859302579,4,80.0
C. elegans,URAVR,3,sensorimotor output,-0.976791306592615,-0.0013509457379679,0.0179200981281793,0.3436472084557694,0.4289956055183586,4,75.0
C. elegans,URBL,4,integrative relay,-0.4708821787532142,0.0151356690304579,0.0224793630567143,0.4615051903114187,1.3256697393034558,4,92.0
C. elegans,URBR,4,integrative relay,-0.4622202745889068,0.0219748405314457,0.0282070519255408,0.4083706942616221,0.6390799592896695,4,77.0
C. elegans,URXL,2,other sensory,-0.0922453345713533,0.0381057915407909,0.0200050339790527,0.421987918367347,0.2371297932889497,6,113.0
C. elegans,URXR,2,other sensory,-0.6372974753910494,0.0304554844923096,0.0238950085354862,0.4099608935115988,0.5520685823000399,4,81.0
C. elegans,URYDL,2,other sensory,0.0412032610255655,-0.1082198964317172,0.0173016284798848,0.4225650867402339,1.0541605260972755,4,97.0
C. elegans,URYDR,2,other sensory,-0.2085975773899617,-0.0869393635161708,0.0284466316757938,0.5109393195012282,1.840549633397487,4,53.0
C. elegans,URYVL,2,other sensory,0.3340720082360938,-0.050768606334913,0.0151823209815332,0.3645391330038312,2.1365999555197845,4,68.0
C. elegans,URYVR,2,other sensory,-0.3294070467994306,-0.0965866123587528,0.0231846249185374,0.3099703980873698,1.8899514954072687,4,67.0
Drosophila,AL_R,0,olfactory / chemosensory,1.101799983131912,0.0561545807743888,0.1873230453747798,0.3539310216217944,0.942654171698268,2,5.0
Drosophila,AME_L,1,visual / optic,-1.4109663844433546,0.0009690628463992,-0.0382219113075164,0.1346819197896122,-0.7256292855814004,6,29.0
Drosophila,ATL_L,4,integrative relay,-0.519659204549771,-0.0252259685261034,-0.0016520549505539,0.3500566893424038,-0.4284893371053548,6,33.0
Drosophila,AVLP_L,4,integrative relay,1.6328346151869817,-0.0056654989765472,0.0074025770754116,0.4619114472657809,-0.9574654046017432,6,30.0
Drosophila,AVLP_R,4,integrative relay,1.072540610741776,-0.0051064366906135,0.0045977105237307,0.4687638123558457,-0.8040388641656668,6,31.0
Drosophila,CRE_L,4,integrative relay,0.3426909346216281,-0.0049864930875445,0.0044296497939522,0.6798796339364515,-0.2499975964008988,5,19.0
Drosophila,CRE_R,4,integrative relay,0.4577458268980124,-0.0242509560105475,0.0078540617629382,0.6880708011823461,-0.1475011659076173,5,14.0
Drosophila,EPA_L,4,integrative relay,-1.074794799671396,0.0446293887503689,-0.1424074460071397,0.0,0.6677190033906197,3,6.0
Drosophila,IB_L,4,integrative relay,-0.4219520522595418,0.028330329238535,-0.0112393599724275,0.6332533087103724,-0.4207842534305047,5,27.0
Drosophila,IB_R,4,integrative relay,-0.2840659556148842,0.0179025717583879,0.0050167115837163,0.7451676798032922,-0.4550297502883675,5,23.0
Drosophila,ICL_L,4,integrative relay,-0.1041283831034324,0.0042850023490588,-0.0121913594953167,0.6097806223515823,-0.6267717884052632,6,34.0
Drosophila,ICL_R,4,integrative relay,-0.1088552069202965,0.0022242635918467,-0.0086050511719919,0.6107673882222713,-0.7938958604702551,6,32.0
Drosophila,LAL_L,3,sensorimotor output,0.4396997499677837,0.0158525861949458,0.0086456898469944,0.512502300539257,-0.0812935021817268,5,12.0
Drosophila,LAL_R,3,sensorimotor output,0.4937769585849373,-0.009054463137215,0.0088199377500919,0.4809981122500806,-0.0874163681621682,5,15.0
Drosophila,LH_L,0,olfactory / chemosensory,0.4949474512208566,0.0073878421151655,0.0056421025584574,0.4319583341899644,0.1697042064397107,4,7.0
Drosophila,LH_R,0,olfactory / chemosensory,0.4310021709390036,-0.0006085538974333,-0.0015620659733197,0.4362525278078802,0.4521889501029338,1,3.0
Drosophila,LO_R,1,visual / optic,-0.8641622978631396,0.0041107082158664,0.0038012121671988,0.5729150161006623,-0.2235359787234082,5,18.0
Drosophila,MB_L,5,associative / learning,0.8450483728176931,-0.0569564167101986,0.0720069799873095,0.5360304662100134,0.1604609447818444,4,9.0
Drosophila,MB_R,5,associative / learning,1.2804103580774668,-0.1252192110285077,0.0910220732211369,0.6690961905940654,0.2967367759402225,4,10.0
Drosophila,ME_L,1,visual / optic,-1.3709621098174984,-0.0075254645606196,-0.0847664824764092,0.699855754045594,1.2959829059602028,1,1.0
Drosophila,ME_R,1,visual / optic,-0.7648873512860052,-0.0003966732874369,-0.005914078063496,0.7066598264728003,0.9373619920999618,1,2.0
Drosophila,PLP_L,4,integrative relay,0.3684434293372752,-0.0039640878380056,-0.0169436020564553,0.614643522557888,-0.1261519291271758,5,13.0
Drosophila,PLP_R,4,integrative relay,0.2849500985973232,-0.0210679244802576,-0.0077008022147407,0.6707137994634418,-0.260895861122119,5,20.0
Drosophila,PVLP_L,4,integrative relay,0.2930105331063098,0.0093178293041694,-0.040215805784619,0.616346227653427,-0.4537985828842031,5,28.0
Drosophila,PVLP_R,4,integrative relay,0.1177895177903817,0.0094069448566929,-0.0195708393470987,0.5693315887799352,-0.443064624230007,5,26.0
Drosophila,SIP_L,4,integrative relay,0.150938837554705,0.010544627094206,0.0108933200094632,0.685881533133319,-0.05049679231685,5,11.0
Drosophila,SIP_R,4,integrative relay,0.3441416109096894,-0.0268607093638766,0.0146383486123922,0.7060751613556515,0.3251339878495997,4,8.0
Drosophila,SLP_R,4,integrative relay,0.6664468040176648,0.003032188244531,0.0198000811772012,0.5310439716454235,-0.2879574200798989,5,22.0
Drosophila,SMP_L,4,integrative relay,0.4981025441101815,0.0110350037003574,0.0143517291906118,0.5441031191264883,-0.2233168384504957,5,16.0
Drosophila,SMP_R,4,integrative relay,0.5561460857546392,0.0035258651882899,0.0011968900350566,0.5331272562763391,-0.2546318686030869,5,17.0
Drosophila,SPS_L,3,sensorimotor output,0.3901537089516166,-0.0036950516419438,0.002763559566441,0.553493252753705,-0.3802312760180888,5,24.0
Drosophila,SPS_R,3,sensorimotor output,0.36874158204957,-0.0038048179207285,0.0033001177521604,0.5525320679799299,-0.5613998628214417,6,35.0
Drosophila,VES_L,3,sensorimotor output,0.5288246271017737,0.0055564777536826,0.0040039655541395,0.5031407090493887,-0.3450533381467631,5,25.0
Drosophila,VES_R,3,sensorimotor output,0.5249681128180895,-0.0027180829781906,0.0082556116800339,0.4737140683548883,-0.1630100254701345,5,21.0
Drosophila,WED_R,4,integrative relay,-0.8475651159819618,0.0018852715074512,0.0056389201270123,0.5134644864506052,0.5137179705089414,1,4.0
Zebrafish,Cb,3,sensorimotor output,-0.1874628411828071,-0.0141297184531264,0.0007654654467577,0.5896503852974936,0.4372814745785421,5,31.0
Zebrafish,Hb,6,state-dependent / modulatory,0.6419454526356599,0.0186363567850836,0.0003020124546751,0.6317229036535833,5.806532607252073,6,37.0
Zebrafish,MON,3,sensorimotor output,-0.2387035597487033,-0.0103798661957588,-0.0029958404205989,0.3495056524884365,0.9083099979119252,6,46.0
Zebrafish,MOS1,3,sensorimotor output,0.2667977693514247,-0.011205884013935,0.0058355912945879,0.2815235074536329,-0.4786620740229192,1,10.0
Zebrafish,MOS2,3,sensorimotor output,-0.0495312862910291,-0.011455358257509,0.0104553585779653,0.6040857300867178,-0.25678747715096,2,20.0
Zebrafish,MOS3,3,sensorimotor output,0.6806572277034678,-0.0162184845678227,0.0025470112460717,0.4760762569278763,1.7533912679126156,6,35.0
Zebrafish,MOS4,3,sensorimotor output,-0.0910045361038802,-0.0091306886283039,0.0010403633229012,0.5925156332890549,1.2450244121694043,6,41.0
Zebrafish,MOS5,3,sensorimotor output,0.1137634841808998,-0.009557861466397,0.0009255019162585,0.5350298396766829,0.704180490539106,5,27.0
Zebrafish,NX,3,sensorimotor output,-0.4663358019302886,-0.0051548129889921,0.0048387493877219,0.425162436424562,-0.235083756632878,2,19.0
Zebrafish,OB,0,olfactory / chemosensory,1.4196972462789414,-0.0039293395196914,0.0023384373845508,0.6753762896795558,0.1582003464286438,3,23.0
