species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,sensory neurons,state-modulatory,463.0,51.0,0.2749585669453841,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,interneurons,motor / command,271.0,323.0,0.40063389161427265,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,interneurons,state-modulatory,271.0,51.0,0.6746900626024959,1.0
C. elegans,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,motor / command,state-modulatory,323.0,51.0,0.9211723268250207,1.0
Drosophila,EdgeStdFCV,olfactory neuropil,80.0,0.7478395989395312,0.6216573713435267,0.6934015739585471,,,,,,,,
Drosophila,EdgeStdFCV,optic neuropil,117.0,-1.1844134759826468,-1.3583655735014357,0.7823265100913109,,,,,,,,
Drosophila,EdgeStdFCV,mushroom body,40.0,1.06272936544758,1.0612400460301554,0.8756647181499922,,,,,,,,
Drosophila,EdgeStdFCV,central complex,80.0,0.13134506854466232,0.07536932938041674,0.7508600943839182,,,,,,,,
Drosophila,EdgeStdFCV,protocerebrum,889.0,-0.032835619928172494,-0.1064529685363837,0.9571702759753294,,,,,,,,
Drosophila,EdgeStdFCV,premotor interface,120.0,0.4576941232456285,0.4910743390668644,0.6317072840899616,,,,,,,,
Drosophila,EdgeStdFCV,__global_kruskal__,1326.0,,,,306.84223396859215,3.3844346749515244e-64,,,,,,
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,optic neuropil,80.0,117.0,1.4741723915154586e-28,1.916424108970096e-27
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,mushroom body,80.0,40.0,0.01895067469551998,0.03790134939103996
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,central complex,80.0,80.0,2.5395633131356557e-07,1.5237379878813934e-06
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,protocerebrum,80.0,889.0,1.2940674788965342e-14,1.2940674788965344e-13
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,premotor interface,80.0,120.0,0.01182029856296306,0.03546089568888918
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,mushroom body,117.0,40.0,7.140300185423024e-19,7.854330203965326e-18
Drosophila,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,central complex,117.0,80.0,1.038305497012882e-22,1.2459665964154585e-21
