species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,global_permutation_p,n_perm,group_i,group_j,n_i,n_j,observed_abs_mean_diff,global_maxT_perm_p
Zebrafish,Modularity,__global_permutation__,328.0,,,,156.396015796832,8.664648146849507e-33,9.999000099990002e-05,10000.0,,,,,,
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,diencephalon,41.0,56.0,0.07327825620775763,0.0710928907109289
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,state system,41.0,42.0,0.037430949483390985,0.6396360363963604
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,mesencephalon,41.0,35.0,0.03222794105852489,0.7548245175482452
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,hindbrain / motor,41.0,154.0,0.19797792519344193,9.999000099990002e-05
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,state system,56.0,42.0,0.035847306724366645,0.6757324267573243
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,mesencephalon,56.0,35.0,0.10550619726628252,0.0025997400259974
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,hindbrain / motor,56.0,154.0,0.1246996689856843,0.00019998000199980003
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,mesencephalon,42.0,35.0,0.06965889054191587,0.09509049095090491
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,hindbrain / motor,42.0,154.0,0.16054697571005094,9.999000099990002e-05
Zebrafish,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mesencephalon,hindbrain / motor,35.0,154.0,0.23020586625196682,9.999000099990002e-05
Zebrafish,LogOutIn,telencephalon,65.0,0.44064376383342535,0.620877782191287,1.8763313822545946,,,,,,,,,,
Zebrafish,LogOutIn,diencephalon,56.0,-0.19058547426362946,-0.3452286405070511,0.7080655238486427,,,,,,,,,,
Zebrafish,LogOutIn,state system,92.0,0.6180679956181442,-0.2889239041243091,2.4593935745155084,,,,,,,,,,
Zebrafish,LogOutIn,mesencephalon,42.0,0.35229252058138505,0.21054915578424305,0.9225588169971736,,,,,,,,,,
Zebrafish,LogOutIn,hindbrain / motor,195.0,0.30642433521407475,0.237435685327753,1.2879638723742926,,,,,,,,,,
Zebrafish,LogOutIn,__global_permutation__,450.0,,,,19.72865959132031,0.000564909583650395,0.06009399060093991,10000.0,,,,,,
