species,unit_type,node,n_edge_values,summary_from_sample,edge_source_dca_mean,edge_source_dca_median,edge_source_dca_q25,edge_source_dca_q75,edge_source_dca_frac_positive,edge_source_dca_frac_negative,EdgeStdFCV
Drosophila,region,PVLP_R,21048,False,-0.006337942572731183,1.6049682392127353e-06,-9.9778932557663e-05,0.0003766809182642,0.5223774230330672,0.47648232611174457,0.270902664910236
Drosophila,region,EPA_R,143,False,0.003108217615482983,3.332647017284777e-06,-0.00013689625540209998,0.0025429735484007003,0.5594405594405595,0.4195804195804196,0.2710556796121164
Drosophila,region,EPA_L,121,False,-0.0018246626519208236,3.886717846062891e-05,-0.0011306624611573,0.0044770777295155,0.5619834710743802,0.4214876033057851,0.2710581616429286
Drosophila,region,SPS_R,29073,False,0.0008931332853767559,8.295644687230305e-06,-0.0002359021812151,0.0022155527624541,0.5743129364014722,0.41743198156365013,0.2719803083018772
Drosophila,region,SPS_L,24033,False,-0.002559578289300388,4.743149433041304e-06,-0.0001351755822124,0.002416591830274,0.56310073648733,0.42187825073856783,0.272011352355162
Drosophila,region,IB_L,1303,False,-0.0030136786130425144,7.73951883623684e-10,-0.00020301411540975,0.0009883215490145,0.5387567152724482,0.4351496546431312,0.2720715154937995
Drosophila,region,PVLP_L,47799,False,-0.011175683707264497,-1.3062001275031716e-05,-0.0001016273053705,1.1038932670330224e-05,0.355488608548296,0.6308918596623361,0.2721715391524906
Drosophila,region,ICL_R,10559,False,-0.005231362544911895,-3.4586668100375854e-18,-0.00211925578620845,0.0015268770367622,0.4526943839378729,0.5244814849891088,0.2723005773489785
Drosophila,region,AVLP_R,40860,False,0.006600103351871727,5.339633232770274e-06,-0.0004943243555653,0.0043328246298519005,0.5542339696524718,0.437860988742046,0.2724547049385422
Drosophila,region,ICL_L,9988,False,-0.0012869547489086932,-7.786953200015249e-19,-0.0008686681372906499,0.000867921135517,0.46505806968362035,0.5077092511013216,0.2724809102451052
Drosophila,region,PLP_R,24341,False,-0.0061827367826650026,2.420505715574821e-06,-2.8309859030763548e-05,0.0007135797781904,0.5740930939566986,0.4206893718417485,0.2725505199515929
Drosophila,region,IB_R,1387,False,-0.0030130810839939753,9.959472099609455e-15,-0.0003314943669957,0.0020415666814893,0.5407354001441961,0.44556596971881757,0.2727184711382253
Drosophila,region,SMP_R,23495,False,-0.002520920215181395,3.1440973433471386e-06,-0.0012100966059401,0.0039637443350338,0.5417748457118536,0.4325175569270057,0.2729274916525548
Drosophila,region,SLP_R,17514,False,0.007554327763824442,8.254530204666893e-05,-0.0046150220150098,0.0129491436515849,0.5655475619504396,0.4244033344752769,0.2730052444667763
Drosophila,region,PLP_L,38392,False,-0.0027118722415337723,3.915961534026642e-110,-5.964050624626237e-05,0.0002380076692913,0.5002344238382996,0.4871587830798083,0.2735489263155663
Drosophila,region,AVLP_L,37551,False,0.006311213497954337,3.176508213237835e-05,-0.0001188431054832,0.0053351994397264,0.5691725919416261,0.4222524033980453,0.273778991695882
Drosophila,region,SMP_L,21849,False,-6.118037923045954e-05,4.613834618397701e-18,-0.0007383541971933,0.0016723769148977,0.526294109570232,0.44326971486109207,0.273822373758803
Drosophila,region,LH_R,12993,False,0.00024286234008822377,5.279975923268974e-05,-0.0030158583281756,0.0047219013870652,0.5511429231124452,0.41953359501269916,0.273853837155412
Drosophila,region,WED_R,7484,False,0.004059451773194083,0.0001363677877036,-0.00022477511109065,0.0039071885593993,0.6269374665954035,0.3574291822554784,0.2744945890588167
Drosophila,region,SIP_L,3568,False,-0.0008125714337727232,3.4287596266030425e-06,-0.0016848836505107,0.006620434668286,0.5375560538116592,0.4489910313901345,0.2745508119257009
Drosophila,region,ATL_L,469,False,0.007864251749979768,-1.006713571146653e-07,-0.0001473315783905,4.480140795576282e-05,0.43710021321961623,0.5394456289978679,0.274594540742548
Drosophila,region,SIP_R,2828,False,-0.0028996456197463833,0.000414462395214,-0.00142614440865675,0.009207103722537975,0.6078500707213579,0.36669024045261667,0.2746739210036054
Drosophila,region,LH_L,13920,False,0.00018064320341672815,5.1680558281647424e-08,-0.0007237944149139,0.00148353095811715,0.5515804597701149,0.4066810344827586,0.2747266170786009
Drosophila,region,LAL_R,13443,False,0.0037404149218352827,3.859604073278689e-05,-8.855628959342979e-05,0.0061285620740132996,0.6300676932232389,0.3567656029160158,0.2748231912483635
Drosophila,region,ATL_R,343,False,-0.01741850425952857,-1.2115351549307065e-06,-0.00043550912313805,0.0001228458772629,0.40816326530612246,0.5743440233236151,0.2749467370669525
Drosophila,region,CRE_L,15643,False,0.0033494814262593417,1.8980845020435447e-75,-0.0005235802569885999,0.0016108097933822,0.508789874065077,0.4583519785207441,0.2752349079404297
Drosophila,region,AL_R,8905,False,0.06609352611378141,0.017473401411778,-3.829439817758834e-05,0.0710365606742658,0.7319483436271758,0.26546883773161145,0.2753235577173548
Drosophila,region,CRE_R,13340,False,-0.0005945117370712063,9.789283285643496e-19,-7.253207125940844e-05,0.000458605799282225,0.5431034482758621,0.4279610194902549,0.2761286420770891
Drosophila,region,LAL_L,16042,False,0.0032622560160882816,3.971883054960203e-06,-4.225831574868633e-05,0.0046352376635899,0.6210572247849395,0.3639820471262935,0.2772695805019357
Drosophila,region,VES_R,10752,False,0.0013383784858951324,0.0003687590071362,-0.0014161724254445,0.0085388828208634,0.6087239583333334,0.3782552083333333,0.2773233551297182
Drosophila,region,VES_L,12068,False,0.0009462454680816099,3.7903787377632827e-05,-0.0008578672851925,0.006345221387452475,0.5686940669539278,0.41266158435531985,0.27738283725128
Drosophila,region,MB_L,17774,False,0.05633932574118758,0.0126904074192971,3.324955995114724e-17,0.0619603564242639,0.7701136491504444,0.19449758073590637,0.2782836257019559
Drosophila,region,MB_R,14929,False,0.04273712853996678,0.0096849784307864,7.295103583338994e-16,0.0472088992567575,0.7801594212606336,0.17201420054926653,0.2786621343203507
Zebrafish,region,rTS,5939,True,-0.012201541060980281,-3.549390751247728e-12,-0.0069551218554888185,0.0015928354070286982,0.44384576528035025,0.533591513722849,0.2964189996255964
Zebrafish,region,raRF,6300,True,-0.005549287329541431,-8.26529146189273e-61,-0.0011242232063179121,0.00042184504567730006,0.46746031746031746,0.5066666666666667,0.2979164304441501
Zebrafish,region,rimRF,6300,True,0.002391185435223651,3.087832259756824e-54,-0.0004824388046594874,0.0030480996085356176,0.5114285714285715,0.4561904761904762,0.3029837656647399
Zebrafish,region,NX,6300,True,0.005847873340253193,6.227591921992685e-06,-0.00018133008582830115,0.010507764237486375,0.5757142857142857,0.4095238095238095,0.3049761517065482
Zebrafish,region,rNX,6300,True,0.0065203755011473295,0.00011905397001616555,-0.0002548340150123362,0.015372858734320137,0.6263492063492063,0.36158730158730157,0.3057767917003242
Zebrafish,region,imRF,6300,True,0.0013152296206455673,0.0,-0.00045614071353019755,0.0019745201948488584,0.4895238095238095,0.48174603174603176,0.3100590899500802
Zebrafish,region,rMOS2,6300,True,0.010292411375680446,0.0005141535234617629,-0.0001234258841831467,0.02339534882975541,0.6365079365079365,0.3504761904761905,0.3109917860824364
Zebrafish,region,rMOS4,6300,True,0.00012088713210374354,2.652592466112138e-15,-0.000946455308411825,0.00827702142872704,0.5301587301587302,0.45444444444444443,0.3112084944032486
