species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group,OO_fraction,OO_count,II_fraction,II_count,out_degree,DCA_recomputed,cell_class,OO_minus_II,oo_level,oo_source,OO_fraction_edgecheck,n_oo_cells,n_cells,big_group,PostDCA_from_oo_source,oo_node,Division,InterOutDegree,NN_fraction,ON_fraction,NO_fraction,n_subjects
C. elegans,ASKL,0.5883323255348336,-0.0047926839170861,0.0005737168630484,0.2275627364270872,1-hop induced structural neighborhood modularity Q,22.0,3.0,-0.0400053346136991,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.6,3.0,0.0,0.0,5.0,0.005637188684039821,Sensory,0.6,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASKR,-0.1070390691932407,-0.0025467418219997,0.0013774354586308,0.1938461441825114,1-hop induced structural neighborhood modularity Q,47.0,3.0,0.7295148247308201,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.75,9.0,0.0,0.0,12.0,0.005236449599415745,Sensory,0.75,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AUAL,-0.2364454208258091,-0.0233954949985874,0.017243294126609,0.2726225337780541,1-hop induced structural neighborhood modularity Q,51.0,3.0,0.5679840376059393,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.6666666666666666,8.0,0.0,0.0,12.0,0.05539819959873225,Interneuron,0.6666666666666666,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AUAR,-0.1618779789119584,0.0397360446297983,0.0408527209317716,0.2167766360194699,1-hop induced structural neighborhood modularity Q,43.0,3.0,0.4432054360910114,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.8,8.0,0.0,0.0,10.0,0.030088362586873467,Interneuron,0.8,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVAL,0.9541331639757188,-0.0295817709980234,0.086423045263819,0.3749229961531944,1-hop induced structural neighborhood modularity Q,541.0,7.0,-0.9065051814514368,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.0,0.0,0.8095238095238095,34.0,42.0,-0.3475908601190945,Interneuron,-0.8095238095238095,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVAR,0.680299247823455,-0.0148945580873344,0.0847952555575249,0.3763742404559555,1-hop induced structural neighborhood modularity Q,511.0,7.0,-0.8751742299154585,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.0,0.0,0.8636363636363636,38.0,44.0,-0.3775425686691953,Interneuron,-0.8636363636363636,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVBL,0.9244595349435024,-0.1313519933416719,0.0403147503096905,0.2947976277139517,1-hop induced structural neighborhood modularity Q,326.0,5.0,-1.6671170240207784,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.0,0.0,0.5714285714285714,12.0,21.0,-0.0648104421844022,Interneuron,-0.5714285714285714,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVBR,0.1153840283642345,-0.1595382746962184,0.0233360646545585,0.3390416079285745,1-hop induced structural neighborhood modularity Q,367.0,6.0,-1.774059892128654,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.0,0.0,0.8421052631578947,16.0,19.0,-0.04980696158817375,Interneuron,-0.8421052631578947,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVDL,-1.1411473796480909,-0.1976308639164232,0.0793065898466523,0.2478297628653375,1-hop induced structural neighborhood modularity Q,313.0,5.0,-0.6218223997380151,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.16666666666666666,4.0,0.0,0.0,24.0,0.02388262839015906,Interneuron,0.16666666666666666,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AVDR,-1.3809838429296766,-0.2185806460870022,0.0660833213264959,0.2689782065733802,1-hop induced structural neighborhood modularity Q,331.0,5.0,-0.3879974150677734,node_mean,,3.0,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command,0.2857142857142857,8.0,0.0,0.0,28.0,0.08840366001836858,Interneuron,0.2857142857142857,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
