figure,panel,metric,region,division,n,mean,sem,std,median
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,imRF,Hind,7,0.0029767991553869286,0.0005894284753933943,0.0015594811615508757,0.0025686940998444
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,pRF,Hind,6,0.008282871512167183,0.0008990927266057488,0.0022023184116317417,0.00816317268896725
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rCb,Hind,7,3.6581997527606104e-05,0.0005001752800030764,0.0013233394028302383,0.0003965805874292
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rHR,Di,6,-0.0033903435408648834,0.0005458236580712986,0.0013369894518140385,-0.0035154708611005005
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rHb,Di,7,8.00265118085126e-05,0.0031459712879289728,0.008323457659609639,-0.0001799350782608
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rHi,Di,7,0.0006106698402432144,0.001629627232609175,0.004311588387222285,0.0011674244152986
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rMON,Hind,7,-0.0014970485256828286,0.0007251490997959449,0.0019185641815024287,-0.0016042033407504
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rMOS1,Hind,7,0.006611223323256014,0.0004516588215286978,0.0011949769192134401,0.0061342395441588
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rMOS2,Hind,7,0.010218778450709315,0.00038870716495392315,0.0010284224912970423,0.0102247471876378
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rMOS3,Hind,7,-0.0074040619523428,0.00031908746878059135,0.0008442260888705312,-0.0075616730130933
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rMOS4,Hind,7,0.0005837247192696916,0.00045910285400097874,0.001214671977886585,0.0005179955545119
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rMOS5,Hind,7,-0.003545828079235643,0.0010478366553830288,0.002772315204761184,-0.0035011333147442
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rNX,Hind,7,0.006350029282714771,0.0009580685627046635,0.0025348111558656317,0.0061054766591879
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rP,Tel,7,-0.013642830080509028,0.0016835575485028567,0.0044542745912041215,-0.0141929453786083
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rPO,Tel,5,0.00468182241792358,0.0010103233408061826,0.0022591516692973116,0.0044202402775782
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rPT,Di,7,-0.0037576967997050995,0.00039773633449598493,0.0010523114284507768,-0.0031248268959364
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rPrT,Di,7,-0.002660622717765643,0.0005090791529029953,0.0013468968362287512,-0.0030077019088246
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rRa,Hind,7,0.006875518655674385,0.000696088573647839,0.0018416772563458507,0.005887051287661
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rSP,Tel,7,-0.0011009116525225089,0.0017240951073870762,0.004561526890769403,-0.0023470415803456
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rT,Hind,7,-0.0020229855301571002,0.00029086162762962005,0.000769547532639448,-0.0018451255021339
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rTS,Mes,5,-0.01131088808375472,0.0016665935883837266,0.003726616554491317,-0.0111401846545554
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rTeO,Mes,7,-0.0038771285446551713,0.00032453003770300436,0.0008586257727325649,-0.0036723258459201
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rTh,Di,7,-0.002003822309900886,0.00040637178283082094,0.0010751586772042997,-0.0019979202698031
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,raRF,Hind,7,-0.00584801719228067,0.0005610032783159742,0.0014842751591160222,-0.0060455132670405
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rimRF,Hind,7,0.002146655365789971,0.0008162717769859014,0.002159652124145472,0.002461199119543
figure_supply_2_proc,B,$\mathrm{DCA}_{\mathrm{pre}}$,rpRF,Hind,7,0.008323112203431071,0.0005265702467287938,0.0013931739206503113,0.0086489323744127
figure_supply_2_proc,C,Modularity Q,OB,Tel,7,0.6753762896795557,0.024286265192044014,0.06425541797271278,0.6655229591836735
figure_supply_2_proc,C,Modularity Q,rOB,Tel,6,0.7476996242083517,0.054868232030039855,0.13439917156223005,0.7929961324012302
figure_supply_2_proc,C,Modularity Q,P,Tel,7,0.7602545014207814,0.015060908462038886,0.03984741830926317,0.7629021755834704
figure_supply_2_proc,C,Modularity Q,PO,Tel,7,0.6820067908932542,0.00609629754623953,0.016129287225603084,0.685357205230173
figure_supply_2_proc,C,Modularity Q,SP,Tel,7,0.6488495654830372,0.012704435682686319,0.033612777363803095,0.649814987541019
figure_supply_2_proc,C,Modularity Q,HR,Di,0,,,,
figure_supply_2_proc,C,Modularity Q,Hb,Di,7,0.6317229036535833,0.03862377743760901,0.102188909793821,0.6055363341872726
figure_supply_2_proc,C,Modularity Q,Hi,Di,0,,,,
figure_supply_2_proc,C,Modularity Q,PT,Di,7,0.6241196412634371,0.010250718224317492,0.0271208511813417,0.623906853928519
figure_supply_2_proc,C,Modularity Q,PrT,Di,7,0.5734395811636374,0.047499210411437946,0.1256710982205948,0.5971857435693977
figure_supply_2_proc,C,Modularity Q,Th,Di,7,0.7436948192080161,0.013073137531115124,0.034588270762675545,0.7461319777534029
figure_supply_2_proc,C,Modularity Q,TS,Mes,7,0.6567021799859833,0.04155676296710574,0.10994886010382045,0.6431846812799197
figure_supply_2_proc,C,Modularity Q,TeO,Mes,7,0.7392595877022468,0.02260424376843,0.059805207585947276,0.7517666799876073
figure_supply_2_proc,C,Modularity Q,Cb,Hind,7,0.5896503852974936,0.011076440848593518,0.02930550789709569,0.5931217214894134
figure_supply_2_proc,C,Modularity Q,MON,Hind,7,0.3495056524884365,0.014496962909683261,0.03835535862474923,0.360982071374571
figure_supply_2_proc,C,Modularity Q,MOS1,Hind,7,0.2815235074536329,0.005107670511575689,0.013513625952487326,0.2831350075819316
figure_supply_2_proc,C,Modularity Q,MOS2,Hind,7,0.6040857300867178,0.024375253206506808,0.06449085812864676,0.642400253401164
figure_supply_2_proc,C,Modularity Q,MOS3,Hind,7,0.47607625692787625,0.013984593557691159,0.03699975673996681,0.4763689772055499
figure_supply_2_proc,C,Modularity Q,MOS4,Hind,7,0.5925156332890548,0.021595287060141587,0.0571357590521858,0.6012682846033379
figure_supply_2_proc,C,Modularity Q,MOS5,Hind,7,0.5350298396766829,0.01685644406085943,0.04459795897390577,0.5353569232021385
figure_supply_2_proc,C,Modularity Q,NX,Hind,7,0.425162436424562,0.020592908886199815,0.05448371568429682,0.4104548957077315
figure_supply_2_proc,C,Modularity Q,Ra,Hind,7,0.5820414123035287,0.019030666985745178,0.050350412127968924,0.5618643517503918
figure_supply_2_proc,C,Modularity Q,T,Hind,7,0.637989412623095,0.014936807999029517,0.03951907934655241,0.629946442063102
figure_supply_2_proc,C,Modularity Q,aRF,Hind,7,0.622791325314046,0.015359570055834939,0.04063760261261372,0.6160854307866577
figure_supply_2_proc,C,Modularity Q,imRF,Hind,7,0.5528296500335287,0.012617103139645466,0.033381717173554155,0.5678112719545244
figure_supply_2_proc,C,Modularity Q,pRF,Hind,7,0.5376310273067623,0.021443211759341163,0.05673340562571253,0.5409809396716301
figure_supply_2_proc,C,Modularity Q,rCb,Hind,7,0.6048993551443322,0.01381678090978169,0.036555766206747116,0.5968907132684241
figure_supply_2_proc,C,Modularity Q,rHR,Di,0,,,,
figure_supply_2_proc,C,Modularity Q,rHb,Di,7,0.7413882848594687,0.018930810147082675,0.05008621576615885,0.7258235670022103
figure_supply_2_proc,C,Modularity Q,rHi,Di,0,,,,
figure_supply_2_proc,C,Modularity Q,rMON,Hind,7,0.34369756679751634,0.0078461437275041,0.02075894505384519,0.34923640972177
figure_supply_2_proc,C,Modularity Q,rMOS1,Hind,7,0.27515831992477613,0.00431897486959785,0.011426933423693532,0.274527574247287
figure_supply_2_proc,C,Modularity Q,rMOS2,Hind,7,0.5304388566877619,0.026752614701931035,0.07078076542203988,0.5450215163419295
figure_supply_2_proc,C,Modularity Q,rMOS3,Hind,7,0.5088606321992319,0.006137633154776299,0.016238650966082895,0.5182733696023332
figure_supply_2_proc,C,Modularity Q,rMOS4,Hind,7,0.6888893608149244,0.009209922449361899,0.02436716439520245,0.6827013576827058
figure_supply_2_proc,C,Modularity Q,rMOS5,Hind,7,0.41561851017854706,0.027097635313048127,0.07169360415624723,0.4148205912791731
figure_supply_2_proc,C,Modularity Q,rNX,Hind,7,0.46567859915719995,0.02855120626820209,0.07553939141657125,0.4396548906969246
figure_supply_2_proc,C,Modularity Q,rP,Tel,7,0.76833812589439,0.01629268248623121,0.04310638604870532,0.7815428833792474
figure_supply_2_proc,C,Modularity Q,rPO,Tel,7,0.663906956159683,0.00946704054441917,0.025047434932298655,0.6783355512479994
figure_supply_2_proc,C,Modularity Q,rPT,Di,7,0.6193618532705186,0.010126375451170148,0.026791871126265705,0.6235612323136296
figure_supply_2_proc,C,Modularity Q,rPrT,Di,7,0.6663224795431517,0.013261550960610631,0.03508676584078546,0.6809599998643374
figure_supply_2_proc,C,Modularity Q,rRa,Hind,7,0.6943775967652771,0.01147607698484997,0.030362845728544984,0.6974234693877551
figure_supply_2_proc,C,Modularity Q,rSP,Tel,7,0.6258488706517626,0.015057342757901389,0.03983798434286652,0.6324038722412673
figure_supply_2_proc,C,Modularity Q,rT,Hind,7,0.5530475198212054,0.013916478336916862,0.03681954080529976,0.5506343163779561
figure_supply_2_proc,C,Modularity Q,rTS,Mes,7,0.831807735049361,0.016600142100199777,0.04391984772546207,0.8264000000000004
figure_supply_2_proc,C,Modularity Q,rTeO,Mes,7,0.7224238879846772,0.01250315926448173,0.03308025001645192,0.7178667870678586
figure_supply_2_proc,C,Modularity Q,rTh,Di,7,0.6225048321583986,0.017307650482542312,0.045791738955634015,0.6351231200690334
figure_supply_2_proc,C,Modularity Q,raRF,Hind,7,0.7004313567562173,0.026001867920205573,0.06879447614001222,0.6858324661810611
figure_supply_2_proc,C,Modularity Q,rimRF,Hind,7,0.5238171461861011,0.018233307655359833,0.04824079763421232,0.5323389964383782
