predictor,raw_predictor,label,raw_label,outcome,method,n,sign_multiplier,r,abs_r,p,q_bh
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,ZFCV,spearman,47,-1.0,-0.19010175763182238,0.19010175763182238,0.2005850902503146,0.6437254410483989
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,RawFCV,pearson,47,-1.0,0.027913669766624797,0.027913669766624797,0.8522490025169284,0.8943732498211141
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,RawFCV,spearman,47,-1.0,-0.18709528214616097,0.18709528214616097,0.2079305884459379,0.5513922804194888
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,ZFCS,pearson,47,-1.0,0.06653953404126438,0.06653953404126438,0.6567667902826555,0.7448237402825492
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,ZFCS,spearman,47,-1.0,0.11864014801110083,0.11864014801110083,0.4270410585841443,0.5338013232301804
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,RawFCS,pearson,47,-1.0,0.04936657652953329,0.04936657652953329,0.7417567702453566,0.78079660025827
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,RawFCS,spearman,47,-1.0,0.11343663274745605,0.11343663274745605,0.4477348833238092,0.5267469215574225
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,ZFCV,pearson,47,-1.0,0.3638410561352367,0.3638410561352367,0.011936215202274942,0.03978738400758314
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,ZFCV,spearman,47,-1.0,0.1837419056429232,0.1837419056429232,0.21634365154466764,0.6437254410483989
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,RawFCV,pearson,47,-1.0,0.36772644217572537,0.36772644217572537,0.01099333751277608,0.036644458375920265
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,RawFCV,spearman,47,-1.0,0.18709528214616097,0.18709528214616097,0.2079305884459379,0.5513922804194888
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,ZFCS,pearson,47,-1.0,-0.5331585395290432,0.5331585395290432,0.00011408797918973275,0.000456351916758931
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,ZFCS,spearman,47,-1.0,-0.4601063829787234,0.4601063829787234,0.0011379878298160234,0.005689939149080117
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,RawFCS,pearson,47,-1.0,-0.5121361323649353,0.5121361323649353,0.00023335737596335217,0.0007778579198778405
GlobalPostCOut_FCVAligned,GlobalPostCOut,Target global c_out (FCV-aligned),Target global c_out,RawFCS,spearman,47,-1.0,-0.4459990749306198,0.4459990749306198,0.001677896422918232,0.00838948211459116
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,ZFCV,pearson,47,-1.0,0.3646311003993444,0.3646311003993444,0.011739075338685104,0.03978738400758314
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,ZFCV,spearman,47,-1.0,0.20455596669750237,0.20455596669750237,0.16782172771778145,0.6437254410483989
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,RawFCV,pearson,47,-1.0,0.38425100918023475,0.38425100918023475,0.007662589118769379,0.030650356475077516
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,RawFCV,spearman,47,-1.0,0.21970397779833487,0.21970397779833487,0.13784774108861597,0.5513922804194888
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,ZFCS,pearson,47,-1.0,-0.5396099840042069,0.5396099840042069,9.071870168915812e-05,0.0004535935084457906
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,ZFCS,spearman,47,-1.0,-0.4184782608695653,0.4184782608695653,0.003418738841319911,0.013674955365279646
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,RawFCS,pearson,47,-1.0,-0.5503137853836072,0.5503137853836072,6.137618407098571e-05,0.0004091745604732381
GlobalPostCIn_FCVAligned,GlobalPostCIn,Target global c_in (FCV-aligned),Target global c_in,RawFCS,spearman,47,-1.0,-0.4226410730804811,0.4226410730804811,0.0030812846350625664,0.012325138540250266
TargetDCAEnrichmentZ_FCVAligned,TargetDCAEnrichmentZ,Target-cell DCA enrichment (FCV-aligned),Target-cell DCA enrichment,ZFCV,pearson,47,1.0,0.10742087089633919,0.10742087089633919,0.47232984771738407,0.6433205990962935
