species,node,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,PostDCA,PreDCA,Modularity,LogOutIn,OO_fraction,class_order,class_label,class_short,fine_class,anatomy_group
Zebrafish,Cb,-0.7744984944292899,-0.3216913377930852,0.830343611352203,0.0315523191400319,-0.1610510520030609,-0.0172463688142824,-0.0003457946494874,0.5760486591550458,0.3115870849762359,0.1521815352492761,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,Cb,-0.7744984944292899,-0.3216913377930852,0.830343611352203,0.0315523191400319,-0.1610510520030609,-0.0127072102717642,0.0017310928469649,0.5707460977225274,0.4513891584861684,0.1693711355217689,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,Cb,-0.7744984944292899,-0.3216913377930852,0.830343611352203,0.0315523191400319,-0.1610510520030609,-0.0133987364924786,0.004744780364368,0.639683075589026,0.4500389395946819,0.1870109163129296,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,Cb,-0.7744984944292899,-0.3216913377930852,0.830343611352203,0.0315523191400319,-0.1610510520030609,-0.0166637684342718,0.0006884914570073,0.5931217214894134,0.4709221350992387,0.1643531344937615,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,Cb,-0.7744984944292899,-0.3216913377930852,0.830343611352203,0.0315523191400319,-0.1610510520030609,-0.0121444764435234,-0.0024720959674152,0.6054185377805161,0.4432726760907677,0.175688517535681,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,Cb,-0.7744984944292899,-0.3216913377930852,0.830343611352203,0.0315523191400319,-0.1610510520030609,-0.0120562955285139,-0.0008794531432777,0.595460972886627,0.3107320844965925,0.1657506682283689,3,sensorimotor output,sensorimotor output,hindbrain / cerebellar / motor,hindbrain / motor
Zebrafish,Hb,0.7924371237195381,-1.7073556462379729,1.8485231130082331,0.0291257222371149,0.6897712985463894,0.0186515271394251,0.0057461675495969,0.6233737387350288,6.966361057582602,0.3798841282673134,6,state-dependent / modulatory,state-dependent / modulatory,habenular / hypothalamic / raphe state system,state system
Zebrafish,Hb,0.7924371237195381,-1.7073556462379729,1.8485231130082331,0.0291257222371149,0.6897712985463894,0.017656068142614,-0.0012642853454947,0.6055363341872726,5.13219718909209,0.3945224949434209,6,state-dependent / modulatory,state-dependent / modulatory,habenular / hypothalamic / raphe state system,state system
Zebrafish,Hb,0.7924371237195381,-1.7073556462379729,1.8485231130082331,0.0291257222371149,0.6897712985463894,0.0153734493759316,-0.0003958577497052,0.5767988437151335,5.997417382011513,0.3668791298754458,6,state-dependent / modulatory,state-dependent / modulatory,habenular / hypothalamic / raphe state system,state system
Zebrafish,Hb,0.7924371237195381,-1.7073556462379729,1.8485231130082331,0.0291257222371149,0.6897712985463894,0.0177224078003818,-0.0021462623049889,0.6923232829659342,5.254713729065905,0.3357130419641302,6,state-dependent / modulatory,state-dependent / modulatory,habenular / hypothalamic / raphe state system,state system
