ratio_L2_to_L3_over_L3_to_L2,log2_ratio,trial,layer,node,global_node_idx,FCV,PostDCA,PreDCA
0.2,-2.321928094887362,0,2,L2_069,69,1.0954126657254633,1.129736484171076,-1.1891369599880448
0.2,-2.321928094887362,0,2,L2_070,70,-0.45206028091013883,1.2680343896308508,0.28942524329381
0.2,-2.321928094887362,0,2,L2_071,71,-0.13742660785464086,0.8324111258324361,1.4223670306895515
0.2,-2.321928094887362,0,2,L2_072,72,-0.9381307194219322,1.334671082450379,1.533886349742071
0.2,-2.321928094887362,0,2,L2_073,73,-0.876512893666532,1.3798135224200963,-0.2032249276750468
0.2,-2.321928094887362,0,2,L2_074,74,-0.3921198565647946,1.2899153830129835,-1.1068909119756836
0.2,-2.321928094887362,0,2,L2_075,75,0.6399827614506661,0.909815238663675,1.1205708639706653
0.2,-2.321928094887362,0,2,L2_076,76,0.062072980450328996,1.8367454793089826,1.5319934153002595
0.2,-2.321928094887362,0,2,L2_077,77,-0.9265046369960925,1.633580667078401,1.3394579909451896
0.2,-2.321928094887362,0,2,L2_078,78,0.7957933352270966,1.0361436915213504,-0.19827246264988024
0.2,-2.321928094887362,0,2,L2_079,79,1.1765180527720338,1.765778759874626,-0.6820677483165787
0.2,-2.321928094887362,0,3,L3_000,80,0.8974175254644452,,
0.2,-2.321928094887362,0,3,L3_001,81,-0.9359592125232834,,
0.2,-2.321928094887362,0,3,L3_002,82,-1.249978805811067,,
0.2,-2.321928094887362,0,3,L3_003,83,-0.017475381867179736,,
0.2,-2.321928094887362,0,3,L3_004,84,-0.33500939724581213,,
0.2,-2.321928094887362,0,3,L3_005,85,0.5825126861342866,,
0.2,-2.321928094887362,0,3,L3_006,86,0.3817815087865928,,
0.2,-2.321928094887362,0,3,L3_007,87,0.067766902023445,,
0.2,-2.321928094887362,0,3,L3_008,88,-0.9357235174513667,,
0.2,-2.321928094887362,0,3,L3_009,89,-1.1170124681283522,,
0.2,-2.321928094887362,0,3,L3_010,90,3.110253629018542,,
0.2,-2.321928094887362,0,3,L3_011,91,0.3171725866512595,,
0.2,-2.321928094887362,0,3,L3_012,92,1.0927319077564186,,
0.2,-2.321928094887362,0,3,L3_013,93,1.5730630204109273,,
0.2,-2.321928094887362,0,3,L3_014,94,-0.16513966679886655,,
0.2,-2.321928094887362,0,3,L3_015,95,-0.9142804741732019,,
0.2,-2.321928094887362,0,3,L3_016,96,0.43635183909891906,,
0.2,-2.321928094887362,0,3,L3_017,97,0.483544098445789,,
0.2,-2.321928094887362,0,3,L3_018,98,-1.3895523165642287,,
0.2,-2.321928094887362,0,3,L3_019,99,-0.6419453300254874,,
0.2,-2.321928094887362,0,3,L3_020,100,0.1829374501345635,,
0.2,-2.321928094887362,0,3,L3_021,101,-0.9991321831649833,,
0.2,-2.321928094887362,0,3,L3_022,102,0.3196790683742273,,
0.2,-2.321928094887362,0,3,L3_023,103,-1.1489075122836307,,
0.2,-2.321928094887362,0,3,L3_024,104,-1.1810456690151387,,
0.2,-2.321928094887362,0,3,L3_025,105,0.6749967415678458,,
0.2,-2.321928094887362,0,3,L3_026,106,-1.3195368099489606,,
0.2,-2.321928094887362,0,3,L3_027,107,1.0334883178318741,,
0.2,-2.321928094887362,0,3,L3_028,108,-2.05911410392363,,
0.2,-2.321928094887362,0,3,L3_029,109,0.4668995055619344,,
0.2,-2.321928094887362,0,3,L3_030,110,1.5472098315526643,,
0.2,-2.321928094887362,0,3,L3_031,111,-2.3398034054604038,,
0.2,-2.321928094887362,0,3,L3_032,112,-0.32301507595750784,,
0.2,-2.321928094887362,0,3,L3_033,113,0.2058846537992589,,
0.2,-2.321928094887362,0,3,L3_034,114,-0.17160163736757084,,
0.2,-2.321928094887362,0,3,L3_035,115,1.0184052341041279,,
0.2,-2.321928094887362,0,3,L3_036,116,-0.23415261552603256,,
0.2,-2.321928094887362,0,3,L3_037,117,0.47853709418636786,,
0.2,-2.321928094887362,0,3,L3_038,118,-0.38302973086878034,,
0.2,-2.321928094887362,0,3,L3_039,119,-0.40596082248779075,,
0.2,-2.321928094887362,0,3,L3_040,120,-1.377607315176102,,
0.2,-2.321928094887362,0,3,L3_041,121,-0.04835389344052827,,
0.2,-2.321928094887362,0,3,L3_042,122,1.3259697433833606,,
0.2,-2.321928094887362,0,3,L3_043,123,0.11738552586519507,,
0.2,-2.321928094887362,0,3,L3_044,124,1.3131256585091535,,
0.2,-2.321928094887362,0,3,L3_045,125,0.5502516007060271,,
0.2,-2.321928094887362,0,3,L3_046,126,0.997057662121754,,
0.2,-2.321928094887362,0,3,L3_047,127,-0.3445443675699485,,
0.2,-2.321928094887362,0,3,L3_048,128,1.2333956407805289,,
0.2,-2.321928094887362,0,3,L3_049,129,0.15044116895231616,,
0.2,-2.321928094887362,0,3,L3_050,130,0.606588601172283,,
0.2,-2.321928094887362,0,3,L3_051,131,1.7878201787061236,,
0.2,-2.321928094887362,0,3,L3_052,132,-0.4109676204507457,,
0.2,-2.321928094887362,0,3,L3_053,133,-1.4645359102525783,,
0.2,-2.321928094887362,0,3,L3_054,134,0.2839069138913885,,
0.2,-2.321928094887362,0,3,L3_055,135,-0.18187606340496762,,
0.2,-2.321928094887362,0,3,L3_056,136,0.7433780402467811,,
0.2,-2.321928094887362,0,3,L3_057,137,0.01292821179237948,,
0.2,-2.321928094887362,0,3,L3_058,138,-0.6484109129440527,,
0.2,-2.321928094887362,0,3,L3_059,139,-0.5928706761336253,,
0.2,-2.321928094887362,0,3,L3_060,140,-1.2766889418059508,,
0.2,-2.321928094887362,0,3,L3_061,141,0.0686064996395534,,
0.2,-2.321928094887362,0,3,L3_062,142,0.10684007821156882,,
0.2,-2.321928094887362,0,3,L3_063,143,1.4776207282150713,,
0.2,-2.321928094887362,0,3,L3_064,144,0.354614586229426,,
0.2,-2.321928094887362,0,3,L3_065,145,1.0141130951933193,,
0.2,-2.321928094887362,0,3,L3_066,146,0.6407459624958906,,
0.2,-2.321928094887362,0,3,L3_067,147,-0.8325098817025739,,
0.2,-2.321928094887362,0,3,L3_068,148,-0.005782805315514204,,
0.2,-2.321928094887362,0,3,L3_069,149,-1.0330294211110045,,
0.2,-2.321928094887362,0,3,L3_070,150,-0.726181484687785,,
0.2,-2.321928094887362,0,3,L3_071,151,-2.725827176892309,,
0.2,-2.321928094887362,0,3,L3_072,152,1.1204694576856935,,
0.2,-2.321928094887362,0,3,L3_073,153,-0.3953985084011255,,
0.2,-2.321928094887362,0,3,L3_074,154,1.061695482134565,,
0.2,-2.321928094887362,0,3,L3_075,155,1.3429476064061117,,
0.2,-2.321928094887362,0,3,L3_076,156,-0.26291004973613763,,
0.2,-2.321928094887362,0,3,L3_077,157,-0.18828061384814015,,
0.2,-2.321928094887362,0,3,L3_078,158,0.24762497963526173,,
