species,node,edge_source_dca_mean,n_edge_values,EdgeStdFCV_raw,EdgeStdFCV_zscore,EdgeStdFCV,PreDCA,predca_for_plot,predca_mode,class_order,class_label,fine_class,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,RICL,0.016380740496296,17,0.3305586784404383,-0.5805296414732438,-0.5805296414732438,0.0147470578981035,0.0147470578981035,signed_PreDCA,4,state-dependent / modulatory,state-modulatory interneuron,6,state-dependent / modulatory,17.0,0.016380740496296013
C. elegans,ALA,0.031874292266406,5,0.33085458119846,-0.3667136375340386,-0.3667136375340386,0.0339861142347755,0.0339861142347755,signed_PreDCA,4,state-dependent / modulatory,state-modulatory interneuron,6,state-dependent / modulatory,5.0,0.03187429226640604
C. elegans,URBR,0.0360195101705958,8,0.3312190338559746,-0.4622202745889068,-0.4622202745889068,0.0282070519255408,0.0282070519255408,signed_PreDCA,2,integrative relay,other interneuron,4,integrative relay,8.0,0.03601951017059584
C. elegans,RMDDL,0.0164464085063515,26,0.3340769569046931,-0.4266990564743954,-0.4266990564743954,0.0582212357254225,0.0582212357254225,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,26.0,0.01644640850635155
C. elegans,AUAL,0.0115923936397967,8,0.3367137387406114,-0.2375001825649381,-0.2375001825649381,0.017243294126609,0.017243294126609,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,8.0,0.011592393639796786
C. elegans,IL1DL,0.0321837943146557,6,0.3369346906485412,-0.290695203170446,-0.290695203170446,0.0336350446821504,0.0336350446821504,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,6.0,0.03218379431465571
C. elegans,RMDVL,0.0168149488781932,20,0.3373869721321716,-0.248109221383357,-0.248109221383357,0.0752928416535763,0.0752928416535763,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,20.0,0.016814948878193195
C. elegans,URYDR,0.0305843362893705,5,0.3402787878954743,-0.2085975773899617,-0.2085975773899617,0.0284466316757938,0.0284466316757938,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,5.0,0.03058433628937058
C. elegans,URXL,0.0365092687691577,17,0.3411785845952754,-0.0922453345713533,-0.0922453345713533,0.0200050339790527,0.0200050339790527,signed_PreDCA,0,sensory input,thermo/gas sensory,2,other sensory,17.0,0.03650926876915777
C. elegans,AIYR,0.0187275319218839,12,0.3412661090469169,-0.1312169578002816,-0.1312169578002816,0.0090704486755844,0.0090704486755844,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,12.0,0.01872753192188396
