species,node,edge_target_dca_mean,n_edge_values,EdgeStdFCV_raw,PostDCA,EdgeStdFCV_zscore,EdgeStdFCV,class_order,class_label,fine_class,postdca_for_plot,postdca_mode,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,OLLR,-0.0338562807245519,21,0.3552261822478234,-0.0655555465092243,0.4679520859572197,0.4679520859572197,0,sensory input,other sensory neuron,-0.0655555465092243,signed_PostDCA,2,other sensory,21.0,-0.03385628072455197
C. elegans,SMBVR,0.0201272502376959,14,0.3551667481069022,0.0171129176168821,0.720566827203706,0.720566827203706,1,sensorimotor output,head motor / command,0.0171129176168821,signed_PostDCA,3,sensorimotor output,14.0,0.020127250237695914
C. elegans,OLQVR,0.0238737377445504,9,0.354593484297119,0.0031116311161349,0.3974154971940922,0.3974154971940922,0,sensory input,mechanosensory,0.0031116311161349,signed_PostDCA,2,other sensory,9.0,0.023873737744550465
C. elegans,IL1L,-0.0458644461343224,12,0.3545102878121302,-0.1317128809018447,0.3664802206317709,0.3664802206317709,0,sensory input,mechanosensory,-0.1317128809018447,signed_PostDCA,2,other sensory,12.0,-0.045864446134322466
C. elegans,SMDDL,0.0076062384142425,19,0.3540710862406407,0.0352876123337124,0.4548987190159245,0.4548987190159245,1,sensorimotor output,head motor / command,0.0352876123337124,signed_PostDCA,3,sensorimotor output,19.0,0.007606238414242547
C. elegans,URYVL,-0.0004507001235345,22,0.3534950362461274,-0.050768606334913,0.3340720082360938,0.3340720082360938,0,sensory input,other sensory neuron,-0.050768606334913,signed_PostDCA,2,other sensory,22.0,-0.0004507001235345807
C. elegans,RMED,-0.0887213926728315,4,0.353374317071198,-0.1161553818148787,0.3662126499559935,0.3662126499559935,1,sensorimotor output,head motor / command,-0.1161553818148787,signed_PostDCA,3,sensorimotor output,4.0,-0.08872139267283155
C. elegans,SMDVR,-0.023751738056339,16,0.3524284855523643,0.0272627736396793,0.4941198092821146,0.4941198092821146,1,sensorimotor output,head motor / command,0.0272627736396793,signed_PostDCA,3,sensorimotor output,16.0,-0.023751738056339025
C. elegans,AWCL,-0.0113537954917313,14,0.3522118805826735,0.0358871084858854,0.3811994243559774,0.3811994243559774,0,sensory input,chemosensory,0.0358871084858854,signed_PostDCA,0,olfactory / chemosensory,14.0,-0.011353795491731314
C. elegans,IL1DR,-0.0232297486415149,9,0.3518539766122726,-0.0867933481889604,0.336274529306921,0.336274529306921,0,sensory input,mechanosensory,-0.0867933481889604,signed_PostDCA,2,other sensory,9.0,-0.023229748641514978
C. elegans,ADLR,-0.0054721758688822,25,0.3504312155228328,-0.0163826686176243,0.3055545828186178,0.3055545828186178,0,sensory input,chemosensory,-0.0163826686176243,signed_PostDCA,0,olfactory / chemosensory,25.0,-0.005472175868882251
