neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
AIYR,4,0.2601488932805306,0.2596255548938451,0.40597086001480276,0.20742793268509058,0.23542373415067214,-0.627259914076348,-0.5119141103930651,-0.10020071002834464,-0.4228513220842299,0.11633335373427287,Interneuron,0.0920169353213301,0.0107346042986355,0.0812823310226946,0.0538733599112803,0.0090704486755844,0.0621479067488444,0.7857142857142857,11,14,12,202.0,130.0
AIZL,15,0.28826339204453827,0.2827739888016402,0.5235687698064874,0.23464164932841675,0.29369181045410553,0.5957210736926036,0.44741219821273565,0.9140963955612735,0.9140555366536484,1.2353647759426918,Interneuron,0.087693074138596,0.0636705410070691,0.0240225331315268,0.0204181099660161,0.047446765066353,-0.0579919469776867,0.55,11,20,23,248.0,216.0
AIZR,16,0.25235307081443215,0.24687024825683837,0.5103029003553559,0.1992959132282359,0.27245145793077497,-0.9663782721907781,-1.0405244379839163,0.7996765643648872,-0.8223466475389787,0.8274463513045639,Interneuron,0.0798581203804093,0.0654407402937243,0.0144173800866849,0.020458202282866,0.0485028683518329,-0.048304679574555,0.5625,9,16,18,187.0,206.0
ALA,2,0.26109047872819247,0.2553279162718563,0.45104686458189236,0.21909155174210396,0.2725327195772092,-0.5863009373392418,-0.6900185044689807,0.2885856301790074,0.1501381199459548,0.8290069714854458,Interneuron,0.0171410668157692,0.0027821678882367,0.0143588989275324,-0.0440910493247112,0.0339861142347755,0.1249387366082999,0.4285714285714285,3,7,5,25.0,12.0
AQR,4,0.3092400379687971,0.31030259992362463,0.40704754362292495,0.23386810879948539,0.2127758445292995,1.5082053889161804,1.5882634970042668,-0.09091417535023133,0.8760544193423283,-0.3186166521839857,Sensory,0.0529917830086745,0.0134465880568273,0.0395451949518471,-0.0209444244297973,0.0392952149138182,0.2596373105057561,0.5789473684210527,11,19,10,84.0,33.0
ASEL,14,0.307076310871763,0.30283564299241933,0.5470033356102338,0.2409241346527447,0.28091463237033654,1.4140832377583268,1.2788149935822057,1.1162225414051536,1.222690253112853,0.989980602138283,Sensory,0.0169557042012879,0.0046740689819451,0.0122816352193427,0.0406559890302322,0.0092507197028675,0.109144469425068,0.7647058823529411,13,17,13,129.0,37.0
ASER,7,0.3300882828288104,0.3250607106749565,0.5757562369865541,0.24180536497099103,0.27111195543024363,2.4151042565136147,2.199874803646624,1.3642200159773383,1.2659817620247826,0.8017213663159487,Sensory,0.0170555250233331,0.0104356949479239,0.0066198300754091,0.0341258340724581,0.0167177457883876,-0.0871501757189001,0.7058823529411765,12,17,21,115.0,78.0
ASGL,15,0.2718937733315317,0.2694165681421055,0.3288622278509713,0.2140526295700926,0.19368669483756126,-0.11635751006871364,-0.10615117047334943,-0.7652725855259066,-0.09740504737295688,-0.685221484254554,Sensory,0.0121479342998781,0.0011576258977124,0.0109903084021657,-0.0052392339259711,0.0084972584535816,-0.2041199826559248,0.75,3,4,7,67.0,17.0
ASGR,12,0.2579939113047313,0.25554077852850215,0.3255093190376994,0.20193894874945825,0.19082200251306736,-0.7210016523698034,-0.6811969848913301,-0.7941918555251092,-0.6925043197701782,-0.7402375570243884,Sensory,0.0134469040552008,0.0021609336240693,0.0112859704311314,-0.0032007243294031,0.0077206012072321,-0.3010299956639812,0.6,3,5,11,89.0,26.0
ASHL,7,0.28481777581875484,0.2815796948200385,0.5310661008105741,0.22922058409054455,0.29371646056918976,0.4458367321415448,0.3979178073038858,0.9787618403005834,0.647739127426459,1.2358381784486654,Sensory,0.080659043167272,0.0034784993803292,0.0771805437869427,-0.0173948774511531,0.022404898303346,0.2808266095756942,0.75,15,20,10,141.0,22.0
