neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
AIZL,15,0.29070503059453845,0.285457094625519,0.5417155978359057,0.2397920772205385,0.3007545990301864,0.6668639900668303,0.539056952533011,1.1500458274231078,1.0591590580556787,1.3906567806719383,Interneuron,0.087693074138596,0.0636705410070691,0.0240225331315268,0.0204181099660161,0.047446765066353,-0.0579919469776867,0.55,11,20,23,248.0,216.0
AIZR,16,0.2635927587518371,0.2576197882487287,0.5636143059517623,0.2107512578351179,0.2944127765831521,-0.4163796770391724,-0.5326453212139244,1.330378105868018,-0.2973358653237364,1.2752433637771876,Interneuron,0.0798581203804093,0.0654407402937243,0.0144173800866849,0.020458202282866,0.0485028683518329,-0.048304679574555,0.5625,9,16,18,187.0,206.0
ALA,2,0.2842120069600508,0.2789009220234472,0.5646809735658168,0.22142231972691556,0.28398797337838894,0.4074417338562429,0.28665232007273955,1.3391619391502454,0.20110879256212547,1.085524687739558,Interneuron,0.0171410668157692,0.0027821678882367,0.0143588989275324,-0.0440910493247112,0.0339861142347755,0.1249387366082999,0.4285714285714285,3,7,5,25.0,12.0
AQR,4,0.2847737462036975,0.2838651997883612,0.39136822225990536,0.23013815703778095,0.23092360731953013,0.4298854627246901,0.4777709468593291,-0.08804021182598289,0.608225028102136,0.11981808630817697,Sensory,0.0529917830086745,0.0134465880568273,0.0395451949518471,-0.0209444244297973,0.0392952149138182,0.2596373105057561,0.5789473684210527,11,19,10,84.0,33.0
ASEL,14,0.30229120307557994,0.2980493710132671,0.4938781917163286,0.2339789817996043,0.2550168492636539,1.1297779073844847,1.0238442036318203,0.7561126147971353,0.7876297212637529,0.5582856404011838,Sensory,0.0169557042012879,0.0046740689819451,0.0122816352193427,0.0406559890302322,0.0092507197028675,0.109144469425068,0.7647058823529411,13,17,13,129.0,37.0
ASER,7,0.32412917663682694,0.31838800763046304,0.6103880422887169,0.25450623871098194,0.30948955662005073,2.002292269142675,1.8068568562401583,1.7155521718631241,1.7464566545412583,1.5496223320251494,Sensory,0.0170555250233331,0.0104356949479239,0.0066198300754091,0.0341258340724581,0.0167177457883876,-0.0871501757189001,0.7058823529411765,12,17,21,115.0,78.0
ASGL,15,0.26747168941495825,0.26539327664310264,0.2842944797592079,0.214548063601493,0.17661757913716555,-0.2614008873476538,-0.23337551850981247,-0.9697749627811358,-0.11998729678674913,-0.8684852480811895,Sensory,0.0121479342998781,0.0011576258977124,0.0109903084021657,-0.0052392339259711,0.0084972584535816,-0.2041199826559248,0.75,3,4,7,67.0,17.0
ASGR,12,0.24720828189278135,0.24643887691667365,0.24863280349692815,0.19296681521142744,0.1501965408879817,-1.0710050400256692,-0.9630967425884059,-1.263443032126519,-1.1280461085161106,-1.3493158496492312,Sensory,0.0134469040552008,0.0021609336240693,0.0112859704311314,-0.0032007243294031,0.0077206012072321,-0.3010299956639812,0.6,3,5,11,89.0,26.0
ASHL,7,0.29402994456173015,0.2880881430831517,0.5365140711258346,0.22898800811379183,0.280791178231561,0.7997075975494058,0.6403491025786179,1.1072121059973226,0.5545016411750853,1.0273469235259753,Sensory,0.080659043167272,0.0034784993803292,0.0771805437869427,-0.0173948774511531,0.022404898303346,0.2808266095756942,0.75,15,20,10,141.0,22.0
ASIL,5,0.35082012946270014,0.3466405789089061,0.6520251803923397,0.2707848963901705,0.3152881229058911,3.0687025569045074,2.8945463211788263,2.0584271918153223,2.5068317737204517,1.6551491508108915,Sensory,0.0064067584551045,0.0008741515947876,0.0055326068603168,0.0315659701679216,0.0068757177773339,0.4771212547196624,0.8823529411764706,15,17,5,43.0,17.0
ASIR,6,0.3145197810492994,0.30961556455380507,0.58605643583794,0.24783316464761673,0.29751116999007504,1.6183584927591304,1.4691285191547678,1.515185373681256,1.4347577671870633,1.3316303366014377,Sensory,0.0023453824989051,0.0010609364426987,0.0012844460562063,0.0078253633617394,0.019999902767536,0.414973347970818,0.75,9,12,4,27.0,6.0
ASKL,3,0.2832146104582889,0.2778327066792803,0.6228269403701847,0.2320514708286575,0.33733611171436473,0.36759175557350804,0.24552733485687356,1.8179844624123043,0.697595799970193,2.056395597758195,Sensory,0.007345707190727,0.0017085185066872,0.0056371886840398,-0.0047926839170861,0.0005737168630485,-0.2218487496163564,0.6,3,5,9,48.0,50.0
ASKR,3,0.2820528262785536,0.27858610348312357,0.5793805465982436,0.22344383244195373,0.3092766151688388,0.32117383226026963,0.2745321910302323,1.460210518047256,0.2955335296572803,1.5457470578924926,Sensory,0.0055622002435106,0.0003257506440948,0.0052364495994157,-0.0025467418219997,0.0013774354586308,0.2688453122925799,0.75,9,12,6,55.0,26.0
AUAL,16,0.26538113070695746,0.263548382966247,0.29502938846026416,0.2105760096152552,0.17661040285161844,-0.34492706672110196,-0.30440167030573595,-0.8813747459867104,-0.30552169911237864,-0.8686158477065372,Interneuron,0.0658202295119713,0.0104220299132391,0.0553981995987322,-0.0233954949985874,0.017243294126609,0.1597008428675118,0.6666666666666666,8,12,8,89.0,50.0
AUAR,7,0.24125487577263613,0.24162789622866426,0.270862536124224,0.19231120487758785,0.1605547689443554,-1.3088674189060836,-1.1483136192683672,-1.0803848209894547,-1.1586696277001103,-1.1608087599371535,Interneuron,0.0460950570197639,0.0160066944328904,0.0300883625868734,0.0397360446297983,0.0408527209317716,0.0,0.8,8,10,10,80.0,51.0
AVAL,16,0.2907897818892927,0.2960879679736751,0.19810799478101654,0.240745275577379,0.13457354993402065,0.6702501431658489,0.9483325837641191,-1.67950656544227,1.1036828958602296,-1.6336351889513956,Interneuron,0.0756057126166989,0.4231965727357935,-0.3475908601190945,-0.0295817709980234,0.086423045263819,-0.1727115184043006,0.0,0,42,63,266.0,660.0
AVAR,14,0.28261262185846375,0.287823378374923,0.18605923641007088,0.23213794692222842,0.12406697358003652,0.34353990399080386,0.6301559848977617,-1.7787261193067982,0.7016350930895017,-1.8248420363531177,Interneuron,0.067829516212605,0.4453720848818003,-0.3775425686691953,-0.0148945580873344,0.084795255557525,-0.1176394978668005,0.0,0,44,58,282.0,678.0
AVBL,4,0.3105248002038754,0.31349185527377965,0.3180028805521848,0.2501351955466169,0.18952647735024866,1.4587430342640764,1.6183609744100131,-0.6921917973463576,1.5422854917499575,-0.6335590792138814,Interneuron,0.0578532517101885,0.1226636938945907,-0.0648104421844022,-0.1313519933416719,0.0403147503096905,-0.3203351508593678,0.0,0,21,45,63.0,338.0
