Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile
12,26,PrT,407,1065,25,7.923483058497333e-10,-0.007382658044486946,-0.02071333388037386,-0.0011977726742538157,97087,188068,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,27,R,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,28,SP,679,1845,109,9.091079176714054e-10,0.0003844128521468857,0.007426664188197531,-0.026961627868087427,26325,3013,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,29,TeO,6182,33918,49,7.404853146770325e-10,-0.0005802482276666569,-0.013711083217808895,-0.002129371761612387,626551,982862,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,30,Th,1186,3808,57,8.023149906113348e-10,0.0004142376650319533,-0.010894816706522361,0.0018405110541925515,108197,340313,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,31,TL,101,89,300,3.639243466780572e-06,0.005456660402712774,-0.05896306949696214,-0.005317013662589666,5731,807,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,32,TS,404,1205,36,7.489036110773688e-10,-0.0008027794498715395,-0.006288784505263348,-0.008874993542266072,34710,56763,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,33,TG,6,2,2,0.0,-0.06903559372884915,1.1248284507888155e-57,0.00123210351350916,3,3,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,34,VR,92,131,84,9.442792065111695e-10,-0.0015363554601141743,-0.012717422020622517,-0.0008823461571406051,341,6,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,35,NX,381,2285,30,6.073128074077615e-10,0.00010127616490811468,-0.007913485268878776,0.00546363208058685,63099,66025,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
12,36,rMON,1120,18981,17,3.3817835743850237e-10,-0.005896385670997741,-0.015156229147522814,0.0004101664268373526,229418,148250,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl
