Subject,RegionID,Region,NRegionNeurons,NLocalEdges,NIter,Delta,MeanCellDCA,Rank1PostDCA,Rank1PreDCA,InterOutEdges,InterInEdges,NEdges,NNeurons,MaxIter,Tol,RawFile,RawFC,RawFCV,ZFC,ZFCV,LegacyPostDCA,LegacyPreDCA
12,24,PT,379,1102,28,7.678173971442918e-10,0.003476551654390824,-0.0010064012229707051,-0.0031719792627830953,63562,155160,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.2338277224178061,0.3090110676837669,0.4486169122599852,0.1054075705876616,-0.0152096493216479,0.0058998611512755
12,25,PO,425,941,26,4.691486595091745e-10,-0.0004449099700524005,0.011182847679909805,0.00970530719688792,104706,69431,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1885796146384025,0.357866585504328,-0.0482529022475293,1.4550091052305063,0.1058443333558007,0.0930915913471946
12,26,PrT,407,1065,25,7.923483058497333e-10,-0.007382658044486946,-0.02071333388037386,-0.0011977726742538157,97087,188068,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.3228428436168879,0.2916163855853321,1.4260926328841346,-0.3751090773147397,-0.0177688457715857,-0.1625664972406414
12,27,R,0,0,0,,,,,0,0,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0,0.0
12,28,SP,679,1845,109,9.091079176714054e-10,0.0003844128521468857,0.007426664188197531,-0.026961627868087427,26325,3013,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1630400525356231,0.3538191187001624,-0.3287030272887233,1.343200497851079,-0.1682805048374559,0.0624231527760986
12,29,TeO,6182,33918,49,7.404853146770325e-10,-0.0005802482276666569,-0.013711083217808895,-0.002129371761612387,626551,982862,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.1268240946506995,0.3265634879203439,-0.726390735341013,0.5902816307702928,-0.0264793568334377,-0.1071176495409773
12,30,Th,1186,3808,57,8.023149906113348e-10,0.0004142376650319533,-0.010894816706522361,0.0018405110541925515,108197,340313,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.226360970609274,0.326058447027682,0.3666244540523128,0.5763302084090121,0.0163790687681377,-0.0696301750985239
12,31,TL,101,89,300,3.639243466780572e-06,0.005456660402712774,-0.05896306949696214,-0.005317013662589666,5731,807,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.0976322670488116,0.2584425341982898,-1.0469464155121877,-1.2915148946966135,-0.0335057243707591,-0.4351407741538675
12,32,TS,404,1205,36,7.489036110773688e-10,-0.0008027794498715395,-0.006288784505263348,-0.008874993542266072,34710,56763,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,0.0957696692199234,0.3313778214328953,-1.067399616389751,0.7232744263985388,-0.0819896508225293,-0.0660904978160784
12,33,TG,6,2,2,0.0,-0.06903559372884915,1.1248284507888155e-57,0.00123210351350916,3,3,10244937,47010,300,1e-09,/remotenas2/remotedata/share/zebrafish/figure_code/two_column_figure/fcv_postdca_raw_recompute/data/zebrafish/sc/original_raw_data/subject_12_data_cellular_synapse_sc_100_data.pkl,,,,,0.0022469700184651,1.3283241916539696e-06
